查詢區間:114年01月01日~114年05月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"花蓮縣秀林鄉","加灣路175號","2025-04-19 23:12:04 		                  			 ~  		                  				2025-04-20 00:54:53","102","11.00"
"臺南市新營區","急水溪堤防","2025-04-13 03:45:03 		                  			 ~  		                  				2025-04-13 04:07:02","22","15.00"
"臺南市安南區","公學路四段(十二佃)","2025-04-13 03:45:00 		                  			 ~  		                  				2025-04-13 08:47:03","302","18.00"
"新竹市北區","經國路二段與北新街口","2025-04-13 02:35:04 		                  			 ~  		                  				2025-04-13 02:57:03","22","10.00"
"嘉義縣義竹鄉","義竹村竹禪寺","2025-04-13 01:08:10 		                  			 ~  		                  				2025-04-13 01:37:02","29","10.00"
"臺南市新營區","開元路地下道","2025-04-13 01:05:00 		                  			 ~  		                  				2025-04-13 01:57:03","52","23.00"
"臺南市新營區","延平郡王府與台1線交叉路口(台1線上東側牌樓處)","2025-04-13 01:04:00 		                  			 ~  		                  				2025-04-13 01:37:02","33","14.00"
"嘉義縣布袋鎮","布袋港漁市旁","2025-04-13 00:50:00 		                  			 ~  		                  				2025-04-13 01:57:03","67","11.00"
"嘉義縣東石鄉","港墘村東石鄉港墘村","2025-04-13 00:49:25 		                  			 ~  		                  				2025-04-13 01:17:02","28","10.00"
"嘉義縣布袋鎮","永安里永安社區","2025-04-13 00:49:00 		                  			 ~  		                  				2025-04-13 01:17:02","28","11.00"
"嘉義縣朴子市","佳禾里28-1號","2025-04-13 00:40:00 		                  			 ~  		                  				2025-04-13 01:17:02","37","17.00"
"桃園市桃園區","國際路一段960號","2025-04-13 00:30:00 		                  			 ~  		                  				2025-04-13 01:17:02","47","15.00"
"臺中市北區","三民路三段131巷8號前","2025-04-12 23:47:50 		                  			 ~  		                  				2025-04-13 00:17:02","30","16.00"
"臺中市豐原區","翁社里萬年路與中豐公路交叉口","2025-04-12 23:45:04 		                  			 ~  		                  				2025-04-13 00:07:02","22","11.00"
"臺中市北屯區","景賢三路2號(原住民主題公園)","2025-04-12 23:44:00 		                  			 ~  		                  				2025-04-13 00:27:02","43","10.00"
"臺中市沙鹿區","北勢東路與北勢東路714巷口","2025-04-12 23:24:04 		                  			 ~  		                  				2025-04-12 23:57:02","33","12.00"
"臺中市潭子區","崇德路五段與雅潭路二段路","2025-04-12 23:22:00 		                  			 ~  		                  				2025-04-13 00:23:00","61","14.00"
"臺中市大甲區","雁門路與錦上街口","2025-04-12 23:15:04 		                  			 ~  		                  				2025-04-12 23:37:02","22","13.00"
"臺中市沙鹿區","向上路七段與自強路交叉口","2025-04-12 23:14:04 		                  			 ~  		                  				2025-04-12 23:57:02","43","15.00"
"臺中市豐原區","豐勢路二段210號","2025-04-12 23:13:04 		                  			 ~  		                  				2025-04-13 00:17:02","64","15.00"
"臺中市神岡區","豐洲堤防","2025-04-12 23:12:04 		                  			 ~  		                  				2025-04-12 23:57:02","45","23.00"
"桃園市平鎮區","南平路215號","2025-04-12 22:00:00 		                  			 ~  		                  				2025-04-13 03:49:37","349","14.00"
"桃園市中壢區","中正路二段139號","2025-04-12 21:55:00 		                  			 ~  		                  				2025-04-13 03:49:37","354","17.00"
"桃園市中壢區","中正路延平路-4","2025-04-12 21:45:00 		                  			 ~  		                  				2025-04-13 03:49:37","364","20.00"
"桃園市蘆竹區","國道長榮前大側溝(感測器距溝底70cm)","2025-04-12 21:40:00 		                  			 ~  		                  				2025-04-13 03:49:37","369","18.00"
"桃園市蘆竹區","富華路一段231巷50弄","2025-04-12 21:25:00 		                  			 ~  		                  				2025-04-13 10:09:35","764","10.00"
"桃園市蘆竹區","富華路一段231巷50弄","2025-04-10 15:55:00 		                  			 ~  		                  				2025-04-10 16:56:00","61","10.00"
"臺東縣臺東市","中興路四段763巷","2025-04-10 15:42:43 		                  			 ~  		                  				2025-04-10 16:26:00","44","11.00"
"臺南市麻豆區","埤頭里110號","2025-04-10 14:30:00 		                  			 ~  		                  				2025-04-10 16:09:56","99","11.00"
"臺南市大內區","石林里橄欖腳","2025-04-10 13:43:00 		                  			 ~  		                  				2025-04-10 16:09:56","146","10.00"
"桃園市平鎮區","環南地下道","2025-04-10 11:55:00 		                  			 ~  		                  				2025-04-10 12:40:00","45","80.00"
"新北市樹林區","柑園街一段335巷口","2025-04-10 11:30:00 		                  			 ~  		                  				2025-04-10 13:00:00","90","-"
"桃園市觀音區","桃園市觀音區公園三街與新富路交叉口","2025-04-10 11:10:00 		                  			 ~  		                  				2025-04-10 12:00:00","50","10.00"
"桃園市中壢區","中壢中新地下道","2025-04-10 11:08:00 		                  			 ~  		                  				2025-04-10 12:30:00","82","20.00"
"臺南市善化區","胡家里溪埔中路","2025-04-10 11:00:03 		                  			 ~  		                  				2025-04-10 16:09:56","309","10.00"
"桃園市平鎮區","環南路-1","2025-04-10 10:45:00 		                  			 ~  		                  				2025-04-10 11:36:00","51","21.00"
"桃園市平鎮區","南平路215號","2025-04-10 10:45:00 		                  			 ~  		                  				2025-04-10 11:16:00","31","12.00"
"新北市樹林區","佳園路三段145巷30-16號","2025-04-10 10:40:00 		                  			 ~  		                  				2025-04-10 12:00:00","80","-"
"桃園市平鎮區","延平路二段341號(大昌路全家便利商店前)","2025-04-10 10:40:00 		                  			 ~  		                  				2025-04-10 10:56:00","16","10.00"
"桃園市中壢區","英士一街","2025-04-10 10:10:00 		                  			 ~  		                  				2025-04-10 10:36:00","26","11.00"
"桃園市中壢區","崁頂路1507巷","2025-04-10 10:05:00 		                  			 ~  		                  				2025-04-10 10:36:00","31","10.00"
"桃園市中壢區","龍岡路三段1號至7號","2025-04-10 10:05:00 		                  			 ~  		                  				2025-04-10 10:36:00","31","12.00"
"桃園市中壢區","龍岡國小","2025-04-10 10:05:00 		                  			 ~  		                  				2025-04-10 10:36:00","31","10.00"
"桃園市中壢區","中正公園、圖書館、KTV","2025-04-10 10:05:00 		                  			 ~  		                  				2025-04-10 10:36:00","31","25.00"
"桃園市中壢區","環中東路實踐路","2025-04-10 09:50:00 		                  			 ~  		                  				2025-04-10 10:16:00","26","10.00"
