醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,分區業務組,特約類別,服務項目,診療科別,終止合約或歇業日期,固定看診時段,備註,縣市別代碼,合約起日
0101090517,臺北市立聯合醫院,綜合醫院,(02)25553000,臺北市大同區鄭州路１４５號（代表）,臺北業務組,2,"安寧居家療護(乙類),復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查,精神科日間住院治療,結核病","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,口腔顎面外科,口腔病理科,家庭牙醫科,特殊需求者口腔醫學科,中醫一般科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",20271231,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診24小時服務,63000,20050101
0401020013,國立臺灣大學醫學院附設醫院癌醫中心分院,醫院,(02)23220322,臺北市大安區基隆路３段１５５巷５７號,臺北業務組,2,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,胸部低劑量電腦斷層檢查,腹膜透析業務","內科,外科,婦產科,骨科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,急診醫學科,口腔顎面外科,家庭牙醫科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",20271202,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,20181203
0501010019,三軍總醫院松山分院附設民眾診療服務處,綜合醫院,(02)27642151,臺北市松山區健康路１３１號,臺北業務組,2,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,急診醫學科,牙科,麻醉科,放射線科,病理科,解剖病理科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上休診、星期三晚上休診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19950301
0501160014,三軍總醫院北投分院附設民眾診療服務處,醫院,(02)28959808,臺北市北投區新民路６０號、中和街２５０號１至４樓,臺北業務組,2,"急診業務,門診診療,住院診療,精神病患者居家照護,精神科日間住院治療","不分科,家醫科,內科,外科,神經科,精神科,牙科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,提供急診服務,63000,19950301
1101010021,基督復臨安息日會醫療財團法人臺安醫院,綜合醫院,(02)27718151,臺北市松山區八德路２段４２４、４２６號,臺北業務組,2,"復健－物理治療業務,復健－職能治療業務,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查,腹膜透析業務,結核病","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,牙髓病科,牙周病科,齒顎矯正科,口腔顎面外科,麻醉科,放射線科,解剖病理科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,提供24小時急診服務及週日提供上午門診服務,63000,19970801
1101160017,振興醫療財團法人振興醫院,綜合醫院,(02)28264400,臺北市北投區振興街４５號,臺北業務組,2,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查,精神科日間住院治療,腹膜透析業務,結核病","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,中醫一般科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,提供急診服務,63000,19950301
1101160026,醫療財團法人辜公亮基金會和信治癌中心醫院,綜合醫院,(02)66030011,臺北市北投區立德路１２５號,臺北業務組,2,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,胸部低劑量電腦斷層檢查,結核病","不分科,內科,外科,兒科,婦產科,神經外科,泌尿科,耳鼻喉科,眼科,神經科,精神科,復健科,整形外科,牙科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",20280523,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,急診,63000,19970524
1301170017,臺北醫學大學附設醫院,綜合醫院,(02)27372181,臺北市信義區吳興街２５２號、２５０號,臺北業務組,2,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查,精神科日間住院治療,結核病","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,牙體復形科,牙髓病科,牙周病科,贋復補綴牙科,齒顎矯正科,兒童牙科,口腔顎面外科,口腔病理科,家庭牙醫科,中醫一般科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診提供24小時服務,63000,19950301
