項次編號,評分等級,認定項目,行政區編號,地址,場所名稱,Latitude,Longitude
72,1,6,萬華區,和平西路3段與西園路1段間,捷運龍山寺站暨地下商場,25.03664773,121.49679148
73,2,5,萬華區,峨眉街124-1號,中山老人安養中心,25.04457588,121.49945768
74,1,9,萬華區,西昌街（桂林街以南、廣州街以北）,西昌夜市,25.03801346,121.49410344
75,1,9,萬華區,廣州街（西園路1段以西、環河南路以東）,艋舺夜市及廣州夜市,25.03339976,121.49345549
76,1,5,萬華區,柳州街41號4樓,育仁啟能中心,25.03845638,121.50284628
77,1,9,萬華區,西寧南路4號,西寧行政大樓及西寧市場,25.04859628,121.50389888
78,1,8,萬華區,西寧南路70號,萬年商業大樓,25.04519498,121.50393608
79,1,8,萬華區,漢中街52號,萬國百貨,25.04389728,121.50453778
80,1,8,萬華區,峨嵋街52號,誠品百貨-西門店,25.04365338,121.50275318
81,1,8,萬華區,漢中街116號,H&M成衣公司,25.04296278,121.50473103
82,2,9,萬華區,西園路2段52巷14弄以西與16弄以東所圍街廓及西園路2段52巷17號以東、西園路2段52巷14弄2號以西、西園路2段50巷4弄以南、西園路2段52巷以北所圍街廓,傳統市場,25.01975377,121.42613354
83,2,9,萬華區,青年路106號,南機場三號基地國宅,25.02289708,121.49997588
84,1,9,萬華區,萬華區成都路110號,成都大樓,25.04361888,121.49922968
85,1,8,萬華區,武昌街2段77號,誠品百貨-武昌店,25.04516488,121.50315168
86,1,4,萬華區,西寧南路127號,阿曼TIT,25.04438218,121.50397248
87,1,9,萬華區,西昌街188、190號B1樓,地下層蝸居,25.03774628,121.49791418
88,2,9,萬華區,中華路二段336號,忠恕社區連棟式集合住宅,25.02953078,121.50172918
89,2,9,萬華區,萬華區漢中街42號6樓,金元寶餐廳(歌廳),25.04423428,121.50469598
90,2,9,萬華區,萬華區漢口街2段54號3樓,相思園餐坊(卡拉ok),25.04569318,121.50313158
91,2,9,萬華區,萬華區漢中街42號7樓,星光百分百餐廳(歌廳 ),25.04422758,121.50470348
92,2,9,萬華區,萬華區峨眉街5號2樓,新櫻花音樂茶坊,25.04342698,121.50546538
93,2,9,萬華區,萬華區漢口街2段54號2樓之13,皇鳳餐廳(歌廳),25.04576878,121.50347818
94,2,9,萬華區,萬華區漢口街2段54號3F樓,舞帝有限公司,25.04576878,121.50347818
95,2,9,萬華區,萬華區武昌街2段89號5樓,映捌玖數位影城有限公司,25.04553598,121.50147848
96,2,9,萬華區,萬華區中華路1段144號9樓,新世界音樂城(歌廳),25.01975377,121.42613354
97,2,9,萬華區,萬華區西寧南路70號9樓,萬歲企業有限公司(MTV),25.04350798,121.50331108
98,2,9,萬華區,萬華區漢口街2段54號2樓,亞洲舞廳,25.04567328,121.50321758
99,2,9,萬華區,西昌街201之2號B1-5樓,住宅(蝸居),25.03757634,121.49872144
