項次編號,評分等級,認定項目,行政區編號,地址,場所名稱
96,2,9,63000070,萬華區中華路1段144號9樓,新世界音樂城(歌廳)
97,2,9,63000070,萬華區西寧南路70號9樓,萬歲企業有限公司(MTV)
98,2,9,63000070,萬華區漢口街2段54號2樓,亞洲舞廳
99,2,9,63000070,西昌街201之2號B1-5樓,住宅(蝸居)
100,2,9,63000070,萬華區漢中街116號7樓,中影股份有限公司真善美分公司
101,2,9,63000070,萬華區成都路13號8樓,僖友國際股份有限公司(舞廳)
102,2,9,63000070,萬華區西寧南路36號4樓,新光三越百貨股份有限公司獅子林分公司(新光影城)
103,2,9,63000070,萬華區武昌街2段89號1至4樓,豪華大戲院股份有限公司
104,2,9,63000070,漢中街52號8至11樓,絕色影城股份有限公司(台北西門威秀影城)
105,2,9,63000070,萬華區成都路88號1至7樓,國賓企業股份有限公司(電影院)
106,2,9,63000070,萬華區武昌街2段85號1樓,樂聲大戲院股份有限公司
107,2,8,63000070,萬華區西寧南路36號1F-3F樓,獅子林商場
108,2,9,63000070,和平西路三段187號2樓,金巴黎風味軒餐廳
109,2,9,63000070,漢口街二段54號3樓,夜上海有限公司
110,2,9,63000070,漢口街二段55號B1樓,好聚點茶坊
111,2,9,63000070,漢口街二段37號1樓,東方足體養生館有限公司
112,2,9,63000070,東園街135號,東園市
113,2,2,63000030,和平東路3段606巷及632巷底,違章建築住宅
114,2,4,63000030,忠孝東路3段265號,朕廈社區
115,2,4,63000030,敦化南路2段201至209號,遠企大樓場所(併鼎鼎大飯店)
116,1,5,63000030,仁愛路4段112巷11號,中山醫院
117,2,9,63000030,和平東路3段636巷167號,臺和實業股份有限公司
118,1,5,63000030,仁愛路4段266巷6號,國泰醫院
119,2,1,63000030,基隆路3段155巷,空軍眷村
120,1,5,63000030,仁愛路4段10號,仁愛醫院
121,1,5,63000030,忠孝東路4段77號,中心診所
122,1,5,63000030,仁愛路4段61號,宏恩醫院
123,1,6,63000030,忠孝東路、復興南路口,捷運板南線忠孝復興站
124,1,6,63000030,忠孝東路、敦化南路地下街,捷運板南線地下街
125,1,9,63000030,信義路4段60號,信維市場
126,1,9,63000030,信義路4段2號,捷運木柵線及信義線大安站
127,2,9,63000030,和平東路3段底,莊敬隧道
128,2,9,63000030,和平東路1段177號,和平大廈
129,2,1,63000030,羅斯福路4段119巷60弄,老舊建築
130,2,7,63000030,通化街39巷49弄12號,珍珠細道立體停車塔
131,2,7,63000030,忠孝東路4段205巷38號,台灣聯通停車場-建安場
132,2,7,63000030,光復南路676巷16號,莎軒住商大樓立體停車塔
133,1,9,63000030,忠孝東路4段201號,統領商業大樓
134,1,5,63000030,忠孝東路4段116巷1-5號,秀傳醫院
135,2,1,63000030,基隆路3段155巷107弄,台大教職員宿舍
136,1,6,63000030,信義路2段166號,捷運東門站
137,2,7,63000030,信義路4段265巷17-1號,昌軒小君悅立體停車塔
138,1,5,63000030,基隆路3段155巷57號,台大癌醫中心
139,2,7,63000020,光復南路567號,愛馬屋停車塔
