編號,行政區,轄區分隊,巷道地點,寬度,長度,Latitude,Longitude
372,淡水區,淡水分隊,水源街二段177巷52弄,3.1~4.4不等,120,25.17721978,121.45047163
373,淡水區,淡水分隊,水源街一段47巷,2.3~3.5不等,210,25.17286763,121.44132233
374,淡水區,淡水分隊,水源街一段53巷,2.2~3.3不等,180,25.17289013,121.44249648
375,淡水區,淡水分隊,新民街162巷,2.5~3.2不等,202,25.17943098,121.43619158
376,淡水區,淡水分隊,新民街180巷,3.2~5.2不等,173,25.17918478,121.43497778
377,淡水區,淡水分隊,大仁街6巷,2.7~4.1不等,170,25.01710998,121.45336558
378,淡水區,淡水分隊,水源街二段74巷,2.8-3.5M不等,150,25.17395873,121.44891448
379,淡水區,淡水分隊,水源街二段92巷,3.7-4.7M不等,300,25.17403528,121.44955828
380,淡水區,淡水分隊,北新路182巷3弄,3.4-4不等,110,25.17805428,121.44692063
381,淡水區,淡水分隊,北新路182巷5弄,4-4.8不等,125,25.17746768,121.44692428
382,淡水區,淡水分隊,北新路182巷21弄,3-3.8不等,140,25.17738298,121.44640478
383,淡水區,淡水分隊,北新路182巷41弄,3.4-4.4不等,155,25.17725428,121.44578298
384,淡水區,淡水分隊,重建街96～200號,1.7~2.7不等,200,25.17259008,121.43747458
385,淡水區,淡水分隊,真理街1巷,3.7~4.7不等,140,25.17332478,121.43587768
386,淡水區,淡水分隊,真理街4巷,2.1~2.9不等,170,25.17380918,121.43410188
387,淡水區,淡水分隊,新生街80巷,3.7~4.5不等,140,25.088503,121.37884361
388,淡水區,淡水分隊,學府路181巷,1.4~3.3不等,180,25.17496798,121.44371428
389,淡水區,淡水分隊,英專路21巷,2.8-4m不等,120M,25.16976198,121.44232578
390,淡水區,淡水分隊,英專路28巷2弄,3.1-4.2m不等,125M,25.16936533,121.44314868
391,淡水區,竹圍分隊,民生路52巷,3.8~5.0不等,200,25.13766588,121.45997078
392,淡水區,竹圍分隊,民生路113巷3弄,1.4~3.8不等,200,25.13897843,121.46123723
393,淡水區,竹圍分隊,民權路145巷,1.9~3.8不等,100,25.05922752,121.41381626
394,淡水區,竹圍分隊,民權路173巷,3.3~3.5不等,100,25.13573638,121.45728188
395,淡水區,竹圍分隊,民族路29巷,3.0~5.0不等,500,25.13717518,121.45930538
396,三芝區,三芝分隊,中山路一段88巷(智成街),5.7,115,25.1332618,121.31736578
397,三芝區,三芝分隊,中興街42巷,3.6,297.6,24.15621497,120.25662928
398,三芝區,三芝分隊,育英街24巷,3.4,110,25.25719018,121.49933958
399,石碇區,石碇分隊,石碇西街2號,寬度：3米,長度：170米,24.99096608,121.65673128
400,新店區,直潭分隊,秀山路45巷,寬度：3米,長度：100米,25.14481278,121.48969978
401,深坑區,深坑分隊,北深路一段112巷,寬度：6米,長度：300米,25.01091898,121.63290828
402,深坑區,深坑分隊,北深路一段83巷,寬度：6米,長度：100米,25.01039498,121.63376878
403,新店區,新店分隊,三民路35巷,寬度：2米,長度：150米,25.01290627,121.50928465
404,新店區,新店分隊,三民路75巷1弄,寬度：4米,長度：100米,24.97101683,121.53314338
405,新店區,新店分隊,中正路183巷,寬度：巷口約3.5,長度：70米,25.01621638,121.45311988
406,新店區,新店分隊,中正路312巷,寬度：5米，10及12號1.5米,長度：200米,24.97488418,121.53483328
407,新店區,新店分隊,中正路329巷,寬度：4米,長度：260米,24.97438198,121.53269278
408,新店區,新店分隊,中正路382巷,寬度：5米,長度：200米,24.97765728,121.53265198
409,新店區,新店分隊,中正路695巷,寬度：2米,長度：100米,24.24861908,120.69912118
410,新店區,新店分隊,中興路三段228巷,寬度：前段1.5米，後段4米。,長度：100米,24.98335068,121.54144298
411,新店區,新店分隊,中興路三段247巷,寬度：3米,長度：100米,24.98371508,121.53971518
412,新店區,新店分隊,北新路三段171巷,寬度：3米,長度：80米,24.98391663,121.53832133
413,新店區,新店分隊,文化路80巷,寬度：3米,長度：50米,24.98137718,121.54205488
414,新店區,新店分隊,順安街54巷,寬度：4米,長度：100米,24.98613418,121.53845708
415,新店區,新店分隊,中華路42巷,寬度：5米,長度：200米,24.96900548,121.53838968
416,新店區,新店分隊,中華路54巷,寬度：5米,長度：200米,24.96910688,121.53765988
417,新店區,新店分隊,寶安街2巷,寬度：3米,長度：100米,24.98274523,121.53993888
418,新店區,新店分隊,寶安街4巷,寬度：3米,長度：80米,24.98290218,121.53977463
419,新店區,新店分隊,寶安街16巷,寬度：4米,長度：80米,24.98247458,121.53976938
420,新店區,新店分隊,寶安街58巷後段,寬度：3米,長度：70米,25.01973674,121.38493175
421,新店區,新店分隊,自由街,寬度：5米,長度：300米,25.01659584,121.37615436
422,新店區,新店分隊,民權路42巷,寬度：前段4米，中後段2米,長度：120米,24.98365918,121.53698458
423,新店區,新店分隊,博愛街2巷,寬度：3米,長度：30米,24.98298597,121.40152211
424,新店區,新店分隊,博愛街13巷,寬度：3米,長度：120米,24.97357278,121.53812138
425,新店區,新店分隊,博愛街25巷,寬度：3米,長度：150米,24.97415468,121.53823118
426,新店區,安和分隊,永安街68巷,寬度：5.4米,長度：100米,24.98640118,121.51668368
427,新店區,安和分隊,新和街66巷,寬度：4米,長度：55米,24.98528108,121.51766248
428,新店區,安康分隊,安康路二段205巷,寬度：2米,長度：100米,24.95816208,121.50661438
429,新店區,安康分隊,安康路三段425巷,寬度：2米,長度：100米,24.94973043,121.48081603
430,新店區,安康分隊,安康路二段289巷,3~4米,110米,24.95682863,121.49855998
431,新店區,安康分隊,安康路二段234巷,2.5~3米,150米,24.95960143,121.50680768
432,新店區,安和分隊,新和街31巷,2.7-3m,120m,24.98510233,121.51631033
433,新店區,安和分隊,永安街63巷,2.5-3m,100m,24.98713178,121.51668738
434,新店區,安和分隊,安和路三段175巷,3-3.8m,100m,24.98604693,121.51310098
435,新店區,安和分隊,安康路一段195巷,3米,100米,24.96226648,121.52413508
436,新店區,安和分隊,安康路一段207巷,2.2米,120米,24.96216938,121.52319158
437,新店區,安和分隊,安康路一段263巷,2-3.2米,100米,24.96250808,121.52154868
438,新店區,安和分隊,安康路一段291巷,1.7-2.6m,120m,24.96334043,121.52018798
439,新店區,安和分隊,光華街7巷,1-2.9m,120m,24.96845338,121.51491368
440,樹林區,樹林分隊,福德街,2.5~4不等,300,25.01975803,121.44673367
441,樹林區,樹林分隊,博愛街2巷,2.5,80,24.98298597,121.40152211
442,樹林區,樹林分隊,中山路三段155巷,2.5,80,24.97261748,121.39318198
443,樹林區,樹林分隊,四德街7巷,2,80,24.99189593,121.42367668
444,樹林區,樹潭分隊,工興街14巷,3.1M,110M,25.01353588,121.39685268
445,樹林區,樹潭分隊,中正路632巷,3.3M,80M,25.01640908,121.40779268
446,土城區,清水分隊,永豐路157巷,3.4,300,24.98155938,121.46544228
447,土城區,清水分隊,學府路一段256巷4弄,3.2,100,24.98528848,121.44863548
448,土城區,頂埔分隊,中央路二段192巷,3~4不等,110,24.97602358,121.43910433
449,土城區,頂埔分隊,中央路四段46巷,3公尺,200,24.96102528,121.41804733
450,土城區,頂埔分隊,民安街,3公尺,240,25.00123038,121.47531168
451,土城區,頂埔分隊,德安街,3公尺,300,25.01973674,121.38493175
452,土城區,頂埔分隊,中央路一段318巷19弄,,140,24.98173493,121.43981573
453,三峽區,隆恩分隊,清水街,寬度：3.5m,長度：330m,25.04768043,121.24118217
454,三峽區,隆恩分隊,忠孝街,寬度：3m,長度：100m,25.01105407,121.4368294
455,三峽區,隆恩分隊,長福街,寬度：3.5m,長度：60m,24.93368328,121.36765078
456,三峽區,隆恩分隊,文化路146巷,寬度：2m,長度：110m,24.93663658,121.36780098
457,三峽區,隆恩分隊,和平街29巷,寬度：3.5m,長度：140m,24.93563588,121.36708858
458,三峽區,隆恩分隊,秀川街,寬度：2m,長度：150m,24.93430788,121.36927598
459,三峽區,三峽分隊,介壽路二段38巷,2.8~3不等,200,24.93442638,121.38907188
460,鶯歌區,鶯歌分隊,中正三路210巷,2.3~3不等,120,24.93823408,121.32934328
461,鶯歌區,鳳鳴分隊,中正一路223巷,3,120,24.95731948,121.35151123
462,鶯歌區,鳳鳴分隊,大湖路460巷,4,120,24.97254478,121.33738888
463,鶯歌區,鳳鳴分隊,大湖路468巷,4,120,24.97247208,121.33705318
464,鶯歌區,鶯歌分隊,育英街6巷,2.3,130,24.95428798,121.34377408
465,汐止區,汐止分隊,建成路142巷45弄,2.4~2.6,100,25.07458273,121.65960568
466,汐止區,汐止分隊,龍安路2巷,1.6-2.2,110,,
467,汐止區,汐止分隊,茄苳路282巷,2.4~3.2,160,25.06768573,121.66973588
468,汐止區,汐止分隊,復興路31號至51號,3.2~3.3,70,24.98976418,121.50273128
469,汐止區,社后分隊,光復街7、8巷,2.1~3,2KM,25.01925828,121.47865038
470,汐止區,橫科分隊,橫科路18巷,3~6不等,200,25.04856786,121.61725154
471,汐止區,橫科分隊,宜興街10巷,3~5不等,100,25.04119208,121.61889713
472,汐止區,橫科分隊,宜興街20巷,3~5不等,100,25.04126958,121.61923338
473,汐止區,橫科分隊,宜興街30巷,3~5不等,40,25.04164618,121.61935753
474,汐止區,橫科分隊,林森街69巷,3~5不等,10,25.03228528,121.47037221
475,汐止區,橫科分隊,民權街二段81巷,3~5不等,70,25.04781348,121.61687483
476,汐止區,橫科分隊,合順街13巷,3~7不等,130,25.04350098,121.61730928
477,汐止區,橫科分隊,合順街18巷,3~5不等,110,25.04292628,121.61723058
478,汐止區,橫科分隊,弘道街53巷19弄,3~5不等,70,25.04946353,121.61574473
479,汐止區,橫科分隊,汐止區橫科路52巷14弄,寬度：3.9米,長度：60米,25.05030808,121.61580518
480,瑞芳區,瑞芳分隊,明燈路三段50巷,3.3M,70M,25.10808178,121.80466008
481,瑞芳區,瑞芳分隊,岳王路一巷,3.5M,200M,25.11063748,121.80343438
482,瑞芳區,瑞芳分隊,三爪子坑路91巷,3.5M,長度約：200M,25.10603283,121.80785858
483,瑞芳區,瑞芳分隊,三爪子坑路47巷,2M,長度約：140M,25.10675953,121.81265123
484,瑞芳區,瑞芳分隊,三爪子坑路149巷,3.1M,長度約：120M,25.10639388,121.80822158
485,瑞芳區,瑞芳分隊,三爪子坑路111巷,2.5M,長度約：150M,25.10682488,121.80824328
486,瑞芳區,瑞芳分隊,三爪子坑路32巷,3.6M,長度約：180M,25.10688341,121.80803694
487,瑞芳區,瑞芳分隊,東和路80～104號,2.8M,長度約：200M,25.10384448,121.80114728
488,瑞芳區,瑞芳分隊,三爪子坑路13巷,3.6M,長度約：125M,25.10639294,121.79961945
489,瑞芳區,瑞芳分隊,岳王路41～125號,3.7M,長度約：125M,25.11124338,121.80471798
490,瑞芳區,瑞芳分隊,岳王路72～162號,2.7M,長度約：150M,25.11113238,121.80699678
491,瑞芳區,瑞亭分隊,大埔路103巷,2.06~3.8公尺不等,138公尺,25.10039238,121.75997028
492,瑞芳區,九份分隊,新山路,3.4-8公尺,1000公尺,25.10885318,121.84994778
493,金山區,金山分隊,溫泉路2巷,3~4m,150m,25.22206518,121.63786638
494,金山區,金山分隊,金包里街,3-5m,600m,25.22187748,121.63571268
495,金山區,金山分隊,民生路51巷,3M,130M,25.21998408,121.63987188
496,萬里區,萬里分隊,龜吼里漁澳62號之2旁巷弄,2.3,180,25.19529468,121.68462933
497,萬里區,萬里分隊,野柳里港東111號旁巷弄,2.2,150,25.19974641,121.68368669
498,萬里區,萬里分隊,大鵬里加投288號旁巷弄,2.2,180,25.21678678,121.63976588
499,萬里區,萬里分隊,大鵬里加投287之14號旁巷弄,2.2,200,25.21256552,121.62366943
500,石門區,石門分隊,老梅村公地,2.4~3.9,1200,25.26969983,121.5067329
501,中和區,南勢分隊,中興街115巷1弄,寬度：1.5米~6米,長度：115米,24.99228738,121.49795568
502,中和區,南勢分隊,中興街175巷,寬度：3米,長度：170米,24.99050518,121.49813118
503,中和區,南勢分隊,中興街233巷8弄,寬度：4米,長度：135米,24.98958408,121.49877948
504,中和區,南勢分隊,秀朗路三段60巷,寬度：3.1米~4.7米,長度：240米,24.99495928,121.52298558
505,中和區,南勢分隊,忠孝街11巷,寬度：3.8米4米,長度：145米,24.98429738,121.50685888
506,中和區,南勢分隊,忠孝街101巷11弄,寬度：4米,長度：83米,24.98353002,121.38562941
507,中和區,南勢分隊,保健路29巷,寬度：2-4.2米,長度：135米,24.99804658,121.50618968
508,中和區,南勢分隊,復興路280巷18弄,寬度：1米,長度：150米,24.99168773,121.49986798
509,中和區,南勢分隊,復興路280巷46弄,寬度：1.5米,長度：65米,24.99209663,121.49856898
510,中和區,南勢分隊,景平路92巷(單號),寬度：2.5米,長度：110米,24.99135253,121.51847608
511,中和區,南勢分隊,景平路111巷9弄,寬度：3.5米6米,長度：230米,24.99107618,121.51430253
512,中和區,南勢分隊,景平路151巷9弄,寬度：3.1米~3.8米,長度：100米,24.99153198,121.51171493
513,中和區,南勢分隊,景平路155巷,寬度：3米,長度：130米,24.99193168,121.51086928
514,中和區,南勢分隊,景平路159巷35弄,寬度：3米,長度：140米,24.99135788,121.51129978
515,中和區,南勢分隊,景平路221巷,寬度：2.9米,長度：104米,24.99242653,121.50759743
516,中和區,南勢分隊,景安路208巷,寬度：2米,長度：250米,24.99119323,121.50090158
517,中和區,南勢分隊,景新街418巷,寬度：2.2-3.6米,長度：490米,24.98862873,121.51003108
518,中和區,南勢分隊,景新街423巷35弄,寬度：5米,長度：115米,24.98995593,121.51142253
519,中和區,南勢分隊,景新街496巷,寬度：3.9-4.5米,長度：580米,24.98663738,121.51096478
520,中和區,南勢分隊,華新街50巷,寬度：2.2-3.9米,長度：230米,24.98401798,121.50524063
521,中和區,南勢分隊,華新街143巷57弄,寬度：2.5米,長度：80米,24.97983518,121.50411958
522,中和區,南勢分隊,華新街143巷106弄,寬度：2.9米,長度：166米,24.97893708,121.50387553
523,中和區,南勢分隊,興南路二段34巷55弄,寬度：2.8米,長度：106米,24.98607728,121.50268858
524,中和區,員山分隊,中山路二段242巷,寬度：3-5.5,長度：100,25.00317298,121.49498578
525,中和區,員山分隊,中山路二段523巷2弄,寬度：4-8,長度：100,25.00492118,121.47884543
526,中和區,員山分隊,中山路二段596巷,寬度：4-6,長度：120,25.00590848,121.47917928
527,中和區,員山分隊,民樂路80巷,寬度：2.5-4,長度：100,25.00120268,121.48183553
528,中和區,員山分隊,員山路226巷,3.3公尺,200公尺,25.00070633,121.47913798
529,中和區,員山分隊,員山路486巷,寬度：1.5-4,長度：120,25.00697518,121.47738963
530,中和區,員山分隊,連城路109巷,寬度：3.3-7,長度：220,24.99839848,121.49441568
531,中和區,員山分隊,連城路347巷6弄,寬度：4.1米,長度：200米,24.99546358,121.48554708
532,中和區,員山分隊,連城路347巷18弄,寬度：3.3-5.5,長度：250,24.99482898,121.48556883
533,中和區,員山分隊,圓通路252巷5弄,寬度：4.1米,長度：150米,24.99145603,121.49046943
534,中和區,員山分隊,圓通路265巷,寬度：4.1米-5米,長度：200米,24.99279933,121.49343113
535,中和區,員山分隊,圓通路393巷19弄,寬度：4米-6米,長度：100,24.98865498,121.48754483
536,中和區,員山分隊,福祥路85巷2弄,寬度：4.7米,長度：100米,25.00597368,121.49605768
537,中和區,國光分隊,中山路三段20～30號,寬度：2米,長度：108米,25.00631268,121.47698068
538,中和區,國光分隊,中山路三段170巷4弄,寬度：3.5米,長度：100米,25.00696913,121.47054613
539,中和區,國光分隊,中山路三段170巷8弄,寬度：3.5米,長度：100米,25.00725038,121.47037068
540,中和區,國光分隊,民生街35巷,寬度：3.5-5米,長度：100米,25.00487008,121.46793428
541,中和區,國光分隊,民安街111巷,寬度：2.4米,長度：120米,24.99944273,121.47479738
542,中和區,國光分隊,民享街97巷,寬度：3.5-5.5米,長度：105米,24.99957908,121.47265988
543,中和區,國光分隊,民治街2巷,寬度：1~2米,長度：120米,25.00563918,121.47180938
544,中和區,國光分隊,國光街112巷,寬度：3.5-6米,長度：250米,25.00155978,121.46716008
545,中和區,國光分隊,國光街215巷10弄,寬度：3.5-5米,長度：150米,25.00033303,121.46463778
546,永和區,永和分隊,大新街73巷,寬度：1.2米-4米,長度：120米,25.00828408,121.51516513
547,永和區,永和分隊,中正路654巷,寬度：2.8米,長度：120米,25.00858078,121.51503628
548,永和區,永和分隊,中正路662巷,寬度：4.4-2.8米,長度：120米,25.00879578,121.51502478
549,永和區,永和分隊,中正路666巷,寬度：4.4-2.8米,長度：150米,25.00906898,121.51550608
550,永和區,永和分隊,中正路724巷,寬度：1.2米,長度：100米,25.01085498,121.51332188
551,永和區,永和分隊,中正路732巷,寬度：1.2米,長度：100米,25.01048598,121.51298668
552,永和區,永和分隊,中興街10巷,寬度：2.7-3.3米,長度：220米,25.02397027,121.4416439
553,永和區,永和分隊,永安街,寬度：2.6米-6米,長度：300米,25.01554932,121.44398415
554,永和區,永和分隊,永安街4巷,寬度：1.2米,長度：120米,25.00581728,121.51662568
555,永和區,永和分隊,永利路7巷,寬度：4-2.8米,長度：120米,25.00637778,121.51489928
556,永和區,永和分隊,永利路10巷,寬度：3.5米,長度：100米,25.00509068,121.51526978
557,永和區,永和分隊,永利路36巷,寬度：2.8米,長度：100米,25.00534073,121.51606263
558,永和區,永和分隊,永和路二段276巷,寬度：1.4-2米,長度：100米,25.01532198,121.51407878
559,永和區,永和分隊,光復街2巷11弄,寬度：1.2米-4米,長度：100米,25.01670798,121.51465133
560,永和區,永和分隊,安樂路272巷,寬度：1.5米-4米,長度：150米,25.00420018,121.51212763
561,永和區,永和分隊,竹林路39巷19弄,寬度：2.2米,長度：150米,25.01489038,121.51619598
562,永和區,永和分隊,竹林路39巷32弄,寬度：4.4-1.6米,長度：100米,25.01493313,121.51733738
563,永和區,永和分隊,竹林路75巷,寬度：2.4米-8米,長度：150米,25.01353888,121.51696308
564,永和區,永和分隊,竹林路75巷4弄,寬度：1.5米,長度：100米,25.01395983,121.51818953
565,永和區,永和分隊,竹林路75巷25弄,寬度：1.5米-3.5米,長度：100米,25.01417373,121.51747838
566,永和區,永和分隊,竹林路91巷47弄,寬度：1米-2.2米,長度：100米,25.01328648,121.51872293
567,永和區,永和分隊,竹林路119巷,寬度：2.2-1.6米,長度：250米,25.01156688,121.51855348
568,永和區,永和分隊,竹林路124巷,寬度：3.9-4.4米,長度：200米,25.01129398,121.51676593
569,永和區,永和分隊,竹林路213巷,2.7-3.6米,長度：220米,25.00895588,121.51955328
570,永和區,永和分隊,保慶街,寬度：1.8米-2.3米,長度：150米,25.00684688,121.51005558
571,永和區,永和分隊,復興街,寬度：3.5米,長度：150米,25.01778068,121.45715978
572,永和區,永和分隊,福和路183巷,寬度：3.6-4米,長度：100米,25.00721773,121.51739198
573,永和區,永和分隊,福和路237巷,寬度：3.5米,長度：150米,25.00734313,121.51585373
574,永和區,永和分隊,福和路245巷,寬度：1.2米,長度：100米,25.00695718,121.51567368
575,永和區,永和分隊,豫溪街28巷,寬度：1.2-2.4米,長度：120米,25.00989018,121.51278218
576,永和區,永和分隊,豫溪街42巷,寬度：1.8米-2.7米,長度：120米,25.00963053,121.51300233
577,永和區,永和分隊,豫溪街52巷,寬度：2.4米,長度：100米,25.00983678,121.51329213
578,永和區,永和分隊,豫溪街74巷7弄,寬度：2.8米,長度：100米,25.00965798,121.51489963
579,永和區,永利分隊,中正路151巷8弄,寬度：2.2-1.6米,長度：250米,24.98788643,121.4406604
580,永和區,永利分隊,中正路412巷4弄,寬度：2.4米-3.5米,長度：150米,25.00170938,121.51545128
581,永和區,永利分隊,中正路428巷30弄,寬度：1.6-3.2米,長度：100米,25.00199018,121.51641748
582,永和區,永利分隊,四維街,寬度：2.2-4.6米,長度：120米,24.9926288,121.50844635
583,永和區,永利分隊,民生路47巷12弄,寬度：2.4-4.5米,長度：100米,24.99754378,121.52099753
584,永和區,永利分隊,民享街23巷,寬度：2.8米-4.5米,長度：150米,24.99534488,121.51385788
585,永和區,永利分隊,民治街72巷,寬度：2.8-4.5米,長度：100米,25.01564412,121.45553595
586,永和區,永利分隊,民族街43巷,寬度：3.1-4.5米,長度：100米,25.06613866,121.43012626
587,永和區,永利分隊,民族街49巷,寬度：2.5-4.6米,長度：100米,24.99812428,121.51635788
588,永和區,永利分隊,民樂街25巷,寬度：2.3-4.3米,長度：100米,25.00168728,121.52520218
589,永和區,永利分隊,民樂街55巷,寬度：3.5米,長度：150米,24.99861868,121.52508358
590,永和區,永利分隊,民樂街73巷,寬度：1.2米-4.4米,長度：100米,24.99718418,121.52520728
591,永和區,永利分隊,民樂街75巷,寬度：2.9米-4.5米,長度：300米,24.99693888,121.52507508
592,永和區,永利分隊,民樂街92巷,寬度：2.6-4.1米,長度：150米,,
593,永和區,永利分隊,永貞路39巷4弄,寬度：1米-2.2米,長度：100米,25.00632308,121.51900938
594,永和區,永利分隊,成功路一段38巷,寬度：1.5米-3.5米,長度：100米,25.00447588,121.52428948
595,永和區,永利分隊,秀朗路二段82巷5弄,寬度：1.9-4.3米,長度：100米,25.00120183,121.52075068
596,永和區,永平分隊,仁愛路141巷,寬度：1.2~6.3,長度：223,25.01207508,121.50907538
597,永和區,永平分隊,文化路9巷16弄,寬度：1.8~2.7,長度：124,25.01470433,121.51232408
598,永和區,永平分隊,文化路9巷22弄,寬度：1.9,長度：120,25.01457593,121.51225933
599,永和區,永平分隊,文化路9巷30弄,寬度：1.9,長度：114,25.01435913,121.51222758
600,永和區,永平分隊,文化路16巷5弄,寬度：1.6,長度：148,25.01532063,121.51246913
601,永和區,永平分隊,文化路90巷32弄,寬度：2.7米,長度：100米,25.01671728,121.51085068
602,永和區,永平分隊,文化路126巷,寬度：1.9~4.2,長度：103,25.01559398,121.51051428
603,永和區,永平分隊,文化路144巷,寬度：1.6~2.2,長度：192,25.01613478,121.50993378
604,永和區,永平分隊,永平路173巷,寬度：3,長度：147,25.00862398,121.50778458
605,永和區,永平分隊,永和路一段111巷6弄,寬度：2.5~3米,長度：100米,25.00818978,121.51094273
606,永和區,永平分隊,永和路二段231巷,寬度：2.5~3.5,長度：137,25.01404958,121.51224178
607,永和區,永平分隊,和平街93巷,寬度：1.7~2.2米,長度：100米,25.00917188,121.50896688
608,永和區,永平分隊,和平街95巷,寬度：1.5~1.7,長度：128,25.00932098,121.50862378
609,永和區,永平分隊,保福路一段23巷,寬度：2~3.3米,長度：98米,25.00832268,121.51008943
610,永和區,永平分隊,保福路一段35巷,寬度：1.5~3.2米,長度：113米,25.00892808,121.50994888
611,永和區,永平分隊,保福路二段16巷,寬度：1.9~3.6,長度：199,25.01132113,121.50869533
612,永和區,永和分隊,復興街54巷8號,3-4,,25.01295088,121.51402908
613,永和區,永平分隊,保福路二段158巷,寬度：1.4~3.1,長度：111,25.01505463,121.50664908
614,永和區,永平分隊,保福路二段163巷13弄,寬度：3,長度：107,25.01442053,121.50653588
