項次編號,評分等級,認定項目,行政區編號,地址,場所名稱,latitude,longitude
74,1,9,63000070,西昌街（桂林街以南、廣州街以北）,西昌夜市,27.89642,102.26341
75,1,9,63000070,廣州街（西園路1段以西、環河南路以東）,艋舺夜市及廣州夜市,23.130196401,113.2592945
76,1,5,63000070,柳州街41號4樓,育仁啟能中心,22.672010996692,120.480818012953
77,1,9,63000070,西寧南路4號,西寧行政大樓及西寧市場,25.047933997143,121.507047024326
78,1,8,63000070,西寧南路70號,萬年商業大樓,25.043491001727,121.506046979458
79,1,8,63000070,漢中街52號,萬國百貨,22.756894991154,121.138279997342
80,1,8,63000070,峨嵋街52號,誠品百貨-西門店,,
81,1,8,63000070,漢中街116號,H&M成衣公司,33.069048999,107.018889
82,2,9,63000070,西園路2段52巷14弄以西與16弄以東所圍街廓及西園路2段52巷17號以東、西園路2段52巷14弄2號以西、西園路2段50巷4弄以南、西園路2段52巷以北所圍街廓,傳統市場,,
83,2,9,63000070,青年路106號,南機場三號基地國宅,36.84092,115.71087
84,1,9,63000070,萬華區成都路110號,成都大樓,25.043646988945,121.501810011222
85,1,8,63000070,武昌街2段77號,誠品百貨-武昌店,25.045092992971,121.505730981708
86,1,4,63000070,西寧南路127號,阿曼TIT,25.044437989148,121.506567998559
87,1,9,63000070,西昌街188、190號B1樓,地下層蝸居,27.89642,102.26341
88,2,9,63000070,中華路二段336號,忠恕社區連棟式集合住宅,22.743120003838,121.135128988482
89,2,9,63000070,萬華區漢中街42號6樓,金元寶餐廳(歌廳),25.04421700027,121.50734097767
90,2,9,63000070,萬華區漢口街2段54號3樓,相思園餐坊(卡拉ok),25.04578739174,121.505939272002
91,2,9,63000070,萬華區漢中街42號7樓,星光百分百餐廳(歌廳 ),25.04421700027,121.50734097767
92,2,9,63000070,萬華區峨眉街5號2樓,新櫻花音樂茶坊,25.043387904318,121.50801018882
93,2,9,63000070,萬華區漢口街2段54號2樓之13,皇鳳餐廳(歌廳),25.04578739174,121.505939272002
94,2,9,63000070,萬華區漢口街2段54號3F樓,舞帝有限公司,25.04578739174,121.505939272002
95,2,9,63000070,萬華區武昌街2段89號5樓,映捌玖數位影城有限公司,25.045494989048,121.50402199547
96,2,9,63000070,萬華區中華路1段144號9樓,新世界音樂城(歌廳),25.043149481082,121.508151675345
97,2,9,63000070,萬華區西寧南路70號9樓,萬歲企業有限公司(MTV),25.043491001727,121.506046979458
98,2,9,63000070,萬華區漢口街2段54號2樓,亞洲舞廳,25.04578739174,121.505939272002
99,2,9,63000070,西昌街201之2號B1-5樓,住宅(蝸居),27.89642,102.26341
100,2,9,63000070,萬華區漢中街116號7樓,中影股份有限公司真善美分公司,25.042807415613,121.507480703996
101,2,9,63000070,萬華區成都路13號8樓,僖友國際股份有限公司(舞廳),25.042720495277,121.507368889408
102,2,9,63000070,萬華區西寧南路36號4樓,新光三越百貨股份有限公司獅子林分公司(新光影城),25.04563500874,121.506617032693
103,2,9,63000070,萬華區武昌街2段89號1至4樓,豪華大戲院股份有限公司,25.045494989048,121.50402199547
104,2,9,63000070,漢中街52號8至11樓,絕色影城股份有限公司(台北西門威秀影城),22.756894991154,121.138279997342
105,2,9,63000070,萬華區成都路88號1至7樓,國賓企業股份有限公司(電影院),25.042997014263,121.504539997086
106,2,9,63000070,萬華區武昌街2段85號1樓,樂聲大戲院股份有限公司,25.045268719571,121.504860688702
