查詢區間:110年01月01日~110年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"臺北市信義區","臺北市信義區敦厚里011鄰永吉路３０巷１號","2021-06-04 14:22:00 		                  			 ~  		                  				2021-06-04 16:30:00","128","10.00"
"臺北市信義區","永吉路30巷148弄","2021-06-04 14:22:00 		                  			 ~  		                  				2021-06-04 16:30:00","128","15.00"
"臺北市信義區","臺北市信義區興雅里026鄰永吉路３０巷１６７弄３４號","2021-06-04 14:21:00 		                  			 ~  		                  				2021-06-04 16:30:00","129","10.00"
"臺北市大安區","臺北市大安區建倫里003鄰安和路一段２７號","2021-06-04 14:19:00 		                  			 ~  		                  				2021-06-04 16:40:00","141","10.00"
"臺北市信義區","忠孝東路五段236巷10弄整條巷子","2021-06-04 14:18:00 		                  			 ~  		                  				2021-06-04 16:20:00","122","10.00"
"臺北市信義區","臺北市信義區興雅里001鄰忠孝東路五段６號","2021-06-04 14:17:00 		                  			 ~  		                  				2021-06-04 16:30:00","133","20.00"
"臺北市信義區","信義路六段76巷2弄內","2021-06-04 14:17:00 		                  			 ~  		                  				2021-06-04 16:20:00","123","10.00"
"臺北市文山區","臺北市文山區興家里019鄰興隆路三段２２１巷２弄７號1樓","2021-06-04 14:16:00 		                  			 ~  		                  				2021-06-04 16:30:00","134","15.00"
"臺北市信義區","福德街310巷巷內","2021-06-04 14:16:00 		                  			 ~  		                  				2021-06-04 16:20:00","124","40.00"
"臺北市信義區","台北市信義區信義路6段43號","2021-06-04 14:16:00 		                  			 ~  		                  				2021-06-04 16:20:00","124","50.00"
"臺北市信義區","永吉路30巷83弄道馬路上","2021-06-04 14:13:00 		                  			 ~  		                  				2021-06-04 16:30:00","137","10.00"
"臺北市信義區","莊敬路391巷3弄整條巷子","2021-06-04 14:12:00 		                  			 ~  		                  				2021-06-04 16:40:00","148","10.00"
"臺北市大安區","臺北市大安區黎孝里005鄰安居街３４巷８號1樓","2021-06-04 14:10:00 		                  			 ~  		                  				2021-06-04 16:50:00","160","10.00"
"臺北市大安區","臺北市大安區建倫里010鄰忠孝東路四段２１６巷８弄８號","2021-06-04 14:10:00 		                  			 ~  		                  				2021-06-04 16:50:00","160","10.00"
