查詢區間:111年01月01日~111年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"臺北市中山區","錦西街-中山北路二段","2022-10-16 17:58:00 		                  			 ~  		                  				2022-10-16 20:10:00","132","-"
"臺北市中山區","錦西街-中山北路二段","2022-10-16 17:58:00 		                  			 ~  		                  				2022-10-16 20:10:00","132","10.00"
"臺北市士林區","延平北路5段224巷21號","2022-10-16 17:51:00 		                  			 ~  		                  				2022-10-16 18:30:00","39","-"
"臺北市內湖區","文德路210巷30弄26號","2022-10-16 17:44:00 		                  			 ~  		                  				2022-10-16 20:00:00","136","-"
"臺北市內湖區","內湖區文湖街21巷68弄","2022-10-16 17:42:00 		                  			 ~  		                  				2022-10-16 18:30:00","48","-"
"臺北市內湖區","內湖路2段76巷","2022-10-16 17:33:00 		                  			 ~  		                  				2022-10-16 19:40:00","127","-"
"臺北市士林區","至善路2段266巷","2022-10-16 17:31:00 		                  			 ~  		                  				2022-10-16 18:20:00","49","-"
"臺北市內湖區","成功路5段180號","2022-10-16 17:29:00 		                  			 ~  		                  				2022-10-16 19:30:00","121","-"
"臺北市士林區","德行東路397巷2號","2022-10-16 17:27:00 		                  			 ~  		                  				2022-10-16 18:30:00","63","-"
"臺北市中山區","民權東路2段92巷7弄24號","2022-10-16 17:27:00 		                  			 ~  		                  				2022-10-16 18:10:00","43","-"
"臺北市內湖區","江南街71巷31號","2022-10-16 17:27:00 		                  			 ~  		                  				2022-10-16 18:10:00","43","-"
"臺北市北投區","文林北路-明德路","2022-10-16 17:26:00 		                  			 ~  		                  				2022-10-16 19:20:00","114","-"
"臺北市內湖區","金龍路112巷14號","2022-10-16 17:24:00 		                  			 ~  		                  				2022-10-16 18:10:00","46","10.00"
"臺北市內湖區","陽光街82巷25弄6號1樓","2022-10-16 17:19:00 		                  			 ~  		                  				2022-10-16 18:10:00","51","-"
"臺北市中山區","大直街46巷16號","2022-10-16 17:17:00 		                  			 ~  		                  				2022-10-16 18:20:00","63","-"
"臺北市士林區","中山北路6段315巷2弄5號1樓","2022-10-16 17:16:00 		                  			 ~  		                  				2022-10-16 18:30:00","74","-"
"臺北市信義區","虎林街242巷77號","2022-10-16 17:07:00 		                  			 ~  		                  				2022-10-16 17:20:00","13","10.00"
"臺北市信義區","信義區福德街53號","2022-10-16 16:51:00 		                  			 ~  		                  				2022-10-16 17:40:00","49","-"
"臺北市北投區","石牌路2段201號","2022-10-16 16:50:00 		                  			 ~  		                  				2022-10-16 18:30:00","100","-"
"臺北市南港區","向陽路185號1樓","2022-10-16 16:49:00 		                  			 ~  		                  				2022-10-16 20:40:00","231","-"
"臺北市南港區","向陽路185號1樓","2022-10-16 16:49:00 		                  			 ~  		                  				2022-10-16 17:40:00","51","-"
"臺北市士林區","通河東街二段23號","2022-10-16 16:39:00 		                  			 ~  		                  				2022-10-16 18:00:00","81","-"
"臺北市南港區","研究院路二段、大坑街口","2022-10-16 16:30:00 		                  			 ~  		                  				2022-10-16 22:20:00","350","-"
"臺北市信義區","吳興街284巷59弄","2022-10-16 16:29:00 		                  			 ~  		                  				2022-10-16 21:00:00","271","-"
"臺北市大安區","辛亥路3段284巷8之12號","2022-10-16 16:26:00 		                  			 ~  		                  				2022-10-16 17:30:00","64","30.00"
"臺北市內湖區","東湖路58巷","2022-10-16 16:11:00 		                  			 ~  		                  				2022-10-16 20:50:00","279","-"
"臺北市信義區","吳興街524巷","2022-10-16 16:09:00 		                  			 ~  		                  				2022-10-16 17:10:00","61","10.00"
"臺北市信義區","信義區崇德街269號","2022-10-16 16:08:00 		                  			 ~  		                  				2022-10-16 22:10:00","362","-"
"臺北市中正區","中正區杭州南路1段71巷14號","2022-10-16 16:08:00 		                  			 ~  		                  				2022-10-16 22:00:00","352","-"
"臺北市信義區","信義區六合里信義路五段150巷401弄32號1樓","2022-10-16 16:08:00 		                  			 ~  		                  				2022-10-16 20:50:00","282","-"
"臺北市信義區","信義路5段150巷401弄","2022-10-16 16:08:00 		                  			 ~  		                  				2022-10-16 17:20:00","72","-"
"臺北市內湖區","台北市內湖區東湖路58巷11號","2022-10-16 16:04:00 		                  			 ~","null","-"
