"data_time","行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"2020-08-03 12:41:00+08","士林區","111台灣台北市士林區中正路213巷　中山北路5段511號前慢車道、中山北路5段505巷、中正路187巷、中正路201巷、中正路213巷、中正路223巷、中正路235巷，皆有5公分以上發生積水。","2020-08-03 12:41:00~2020-08-03 23:10:59","629","-"
"2020-08-03 12:40:00+08","士林區","臺北市士林區福林里014鄰中正路１８７巷５０號到68號","2020-08-03 12:40:00~2020-08-03 23:10:59","630","-"
"2020-08-03 12:40:00+08","北投區","大度路怡和巷3弄","2020-08-03 12:40:00~2020-08-03 23:10:59","630","-"
"2020-08-03 12:40:00+08","北投區","臺北市北投區裕民里014鄰裕民六路９０巷１弄６號1樓","2020-08-03 12:40:00~2020-08-03 23:10:59","630","-"
"2020-08-03 12:39:00+08","北投區","臺北市北投區文林里019鄰建民路１８號","2020-08-03 12:39:00~2020-08-03 23:10:59","631","-"
"2020-08-03 12:38:00+08","北投區","台北市北投區承德路7段393巷","2020-08-03 12:38:00~2020-08-03 23:10:59","632","-"
"2020-08-03 12:37:00+08","北投區","臺北市北投區立賢里002鄰承德路七段３４２巷７號臺北市北投區立賢里002鄰承德路七段３４２巷７號1樓","2020-08-03 12:37:00~2020-08-03 23:10:59","633","-"
"2020-08-03 12:37:00+08","北投區","積淹水，約2公分，尊賢街241巷尊賢街241巷","2020-08-03 12:37:00~2020-08-03 23:10:59","633","-"
"2020-08-03 12:34:00+08","中山區","台北市中山區大直街46巷16號1樓","2020-08-03 12:34:00~2020-08-03 23:10:59","636","-"
"2020-08-03 12:29:00+08","北投區","臺北市北投區中央里016鄰大興街１４號後面防火巷","2020-08-03 12:29:00~2020-08-03 23:10:59","641","-"
"2020-08-03 12:29:00+08","北投區","臺北市北投區文林里019鄰明德路３巷９號旁的巷子","2020-08-03 12:29:00~2020-08-03 23:10:59","641","-"
"2020-08-03 12:29:00+08","北投區","臺北市北投區文林里019鄰明德路３巷９號旁的巷子","2020-08-03 12:29:00~2020-08-03 17:20:00","291","-"
"2020-08-03 12:19:00+08","北投區","台北市北投區民族街4號","2020-08-03 12:19:00~2020-08-03 23:10:59","651","-"
"2020-08-03 12:18:00+08","士林區","士林官邸（士林區福林路）","2020-08-03 12:18:00~2020-08-03 23:10:59","652","-"
"2020-08-03 12:08:00+08","北投區","台北市北投區承德路7段32巷3弄","2020-08-03 12:08:00~2020-08-03 23:10:59","662","-"
"2020-08-03 12:07:35+08","北投區","台北市北投區大業路65巷","2020-08-03 12:07:35~2020-08-04 08:40:23","1233","-"
"2020-08-03 12:07:00+08","北投區","台北市北投區大業路65巷","2020-08-03 12:07:00~2020-08-03 23:10:59","663","-"
"2021-09-12 14:35:00+08","士林區","延平北路8段95巷-135號","2021-09-12 14:35:00~2021-09-12 15:30:00","55","-"
"2021-09-12 10:32:00+08","大同區","承德路1段-市民大道1段","2021-09-12 10:32:00~2021-09-12 11:50:00","78","-"
"2021-07-31 16:02:00+08","士林區","天母東路43巷4弄10號至21號","2021-07-31 16:02:00~","null","-"
"2021-07-31 13:52:00+08","北投區","北投區石牌路2段130巷2弄淹水，水深20公分。","2021-07-31 13:52:00~2021-07-31 15:50:00","118","-"
"2021-07-31 13:52:00+08","士林區","士林區仰德大道64號-50號，路面積水，水深膝蓋","2021-07-31 13:52:00~2021-07-31 14:20:00","28","-"
"2021-07-31 13:44:00+08","士林區","士東路228號至286巷","2021-07-31 13:44:00~2021-07-31 15:00:00","76","-"
"2021-07-31 13:32:00+08","北投區","北投區大業路663號，積水深度30公分，面積20公尺","2021-07-31 13:32:00~2021-07-31 15:30:00","118","-"
"2021-07-31 13:32:00+08","士林區","士林區福林路2號，積水10公分以上","2021-07-31 13:32:00~2021-07-31 14:10:00","38","-"
"2021-07-31 13:32:00+08","士林區","士林區天母東路105巷口，水溝雨水已淹到人行道上，深度快達腳踝","2021-07-31 13:32:00~2021-07-31 14:00:00","28","-"
"2021-07-31 13:28:00+08","士林區","天母東路43巷4弄9～11號防火巷內","2021-07-31 13:28:00~2021-07-31 15:20:00","112","-"
"2021-07-29 14:44:00+08","士林區","臺北市士林區延平北路八段55號至110號","2021-07-29 14:44:00~2021-07-29 18:39:13","235","20.00"
"2021-07-24 08:14:00+08","士林區","111台灣台北市士林區通河東街二段21號　通河東街二段21號至23號","2021-07-24 08:14:00~2021-07-24 10:00:00","106","-"
"2021-07-24 07:07:00+08","北投區","公?路往洲美街方向","2021-07-24 07:07:00~2021-07-24 10:10:00","183","-"
"2021-07-24 06:42:00+08","士林區","台北市士林區延平北路8段93巷與96巷、111巷","2021-07-24 06:42:00~2021-07-24 07:50:00","68","-"
"2021-07-24 06:19:00+08","士林區","福林路與中山北路五段口","2021-07-24 06:19:00~2021-07-24 10:50:00","271","-"
"2021-06-04 15:31:00+08","松山區","105台灣台北市松山區敦化北路155巷100弄9號　105台灣台北市松山區敦化北路155巷100弄9號","2021-06-04 15:31:00~2021-06-04 16:50:00","79","30.00"
"2021-06-04 15:17:00+08","大安區","106台灣台北市松山區八德路三段74巷3弄、15弄　吉仁里台北市松山區八德路三段74巷3弄、15弄","2021-06-04 15:17:00~2021-06-04 17:00:00","103","10.00"
"2021-06-04 15:15:00+08","文山區","116台灣台北市文山區木新路二段270-1號　道路積水","2021-06-04 15:15:00~2021-06-04 16:40:00","85","10.00"
"2021-06-04 15:04:00+08","松山區","臺北市松山區光復南路45巷　松山區光復南路45巷有積淹水情形","2021-06-04 15:04:00~2021-06-04 16:40:00","96","15.00"
"2021-06-04 15:04:00+08","信義區","110台灣台北市信義區莊敬路391巷3弄12號　前方路面","2021-06-04 15:04:00~2021-06-04 16:40:00","96","20.00"
"2021-06-04 15:03:00+08","信義區","110台灣台北市信義區莊敬路341巷6號　前方路面","2021-06-04 15:03:00~2021-06-04 16:40:00","97","30.00"
"2021-06-04 14:57:00+08","信義區","臺北市信義區新仁里011鄰忠孝東路四段５５３巷５２弄３號","2021-06-04 14:57:00~2021-06-04 16:30:00","93","10.00"
"2021-06-04 14:46:00+08","松山區","南京東路三段256巷","2021-06-04 14:46:00~2021-06-04 16:20:00","94","50.00"
