查詢區間:112年01月01日~112年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"臺北市中正區","衡陽路69號前","2023-08-10 16:13:00 		                  			 ~  		                  				2023-08-10 22:40:00","387","-"
"臺北市大同區","南京西路163號","2023-08-10 16:13:00 		                  			 ~  		                  				2023-08-10 22:40:00","387","-"
"臺北市中正區","桃源街寶慶路口","2023-08-10 16:13:00 		                  			 ~  		                  				2023-08-10 22:40:00","387","-"
"臺北市中正區","公園路20巷19號","2023-08-10 16:13:00 		                  			 ~  		                  				2023-08-10 22:40:00","387","-"
"臺北市士林區","中山北路5段505巷28號中山北路5段518號","2023-08-10 16:13:00 		                  			 ~  		                  				2023-08-10 22:40:00","387","-"
"臺北市大同區","敦煌路126號","2023-08-10 16:13:00 		                  			 ~  		                  				2023-08-10 22:40:00","387","-"
"臺北市萬華區","萬大路277巷萬大路277巷6號","2023-08-10 16:12:00 		                  			 ~  		                  				2023-08-10 22:40:00","388","-"
"臺北市中正區","懷寧街78號","2023-08-10 16:12:00 		                  			 ~  		                  				2023-08-10 22:40:00","388","-"
"臺北市士林區","重慶北路4段49巷20弄7號","2023-08-10 16:12:00 		                  			 ~  		                  				2023-08-10 22:40:00","388","-"
"臺北市中正區","濟南路1段7號","2023-08-10 16:12:00 		                  			 ~  		                  				2023-08-10 22:40:00","388","-"
"臺北市大同區","承德路2段承德路2段75巷28號","2023-08-10 16:11:00 		                  			 ~  		                  				2023-08-10 22:40:00","389","-"
"臺北市士林區","通河西街1段104號","2023-08-10 16:11:00 		                  			 ~  		                  				2023-08-10 22:40:00","389","-"
"臺北市大同區","重慶北路3段136巷酒泉街和重慶北路3段的交叉路口重慶北路3段168號雙連街雙連街1巷重慶北路3段191號至267號重慶北路3段225號至269號","2023-08-10 16:10:00 		                  			 ~  		                  				2023-08-10 22:40:00","390","-"
"臺北市士林區","中正路212巷1弄4號","2023-08-10 16:10:00 		                  			 ~  		                  				2023-08-10 22:40:00","390","-"
"臺北市中正區","公園路和南昌路的交叉路口","2023-08-10 16:10:00 		                  			 ~  		                  				2023-08-10 18:15:00","125","-"
"臺北市中正區","福和橋","2023-08-10 16:09:00 		                  			 ~  		                  				2023-08-10 22:40:00","391","-"
"臺北市大同區","赤峰街赤峰街77巷9號赤峰街77巷11號;住家巷弄積水","2023-08-10 16:08:00 		                  			 ~  		                  				2023-08-10 22:40:00","392","-"
"臺北市士林區","中正路-延平北路5段","2023-08-10 16:07:00 		                  			 ~  		                  				2023-08-10 22:40:00","393","-"
"臺北市大同區","延平北路4段90號、104號、117號","2023-08-10 16:05:00 		                  			 ~  		                  				2023-08-10 22:40:00","395","-"
"臺北市中正區","延平南路160號人行道淹水","2023-08-10 16:03:00 		                  			 ~  		                  				2023-08-10 22:40:00","397","-"
"臺北市大同區","伊寧街1-55號","2023-08-10 16:03:00 		                  			 ~  		                  				2023-08-10 22:40:00","397","-"
"臺北市大同區","重慶北路2段196號","2023-08-10 16:01:00 		                  			 ~  		                  				2023-08-10 22:40:00","399","-"
"臺北市中正區","和平西路1段168號","2023-08-10 16:00:00 		                  			 ~  		                  				2023-08-10 22:40:00","400","-"
"臺北市大同區","民權西路118巷15弄","2023-08-10 15:59:00 		                  			 ~  		                  				2023-08-10 22:40:00","401","-"
"臺北市中正區","襄陽路6號","2023-08-10 15:57:00 		                  			 ~  		                  				2023-08-10 22:40:00","403","-"
"臺北市大同區","迪化街2段迪化街2段260-1號迪化街2段256-1號迪化街2段268號","2023-08-10 15:56:00 		                  			 ~  		                  				2023-08-10 22:40:00","404","-"
"臺北市大同區","環河北路2段157號","2023-08-10 15:54:00 		                  			 ~  		                  				2023-08-10 22:40:00","406","-"
"臺北市中山區","圓山公園","2023-08-10 15:49:00 		                  			 ~  		                  				2023-08-10 22:40:00","411","-"
"臺北市信義區","忠孝東路5段790巷25弄17號","2023-08-10 15:29:00 		                  			 ~  		                  				2023-08-10 22:40:00","431","-"
"臺北市中山區","中山北路1段2號到40號","2023-06-30 16:52:00 		                  			 ~  		                  				2023-06-30 20:10:47","198","-"
"臺北市大同區","環河北路一段395號積淹水","2023-06-30 16:33:00 		                  			 ~  		                  				2023-06-30 20:10:47","217","-"
"臺北市中正區","二二公園音樂台","2023-06-30 16:26:00 		                  			 ~  		                  				2023-06-30 20:10:47","224","-"
"臺北市大同區","承德路1段88號","2023-06-30 16:22:00 		                  			 ~  		                  				2023-06-30 20:10:47","228","-"
"臺北市士林區","自強隧道中山往士林方向","2023-06-30 16:15:00 		                  			 ~  		                  				2023-06-30 20:10:47","235","-"
"臺北市士林區","三腳渡平面停車場積淹水","2023-06-30 16:14:00 		                  			 ~  		                  				2023-06-30 16:40:00","26","-"
"臺北市士林區","三腳渡平面停車場積淹水","2023-06-30 16:10:00 		                  			 ~  		                  				2023-06-30 20:10:47","240","-"
"臺北市士林區","延平北路8段91號積淹水","2023-06-30 16:09:00 		                  			 ~  		                  				2023-06-30 20:10:47","241","-"
"臺北市士林區","臺北市士林區 中山北路五段福林路交叉口","2023-06-30 16:00:00 		                  			 ~  		                  				2023-06-30 17:10:00","70","15.00"
"臺北市士林區","台北市士林區至善路一段","2023-06-30 16:00:00 		                  			 ~  		                  				2023-06-30 17:00:00","60","20.00"
"臺北市大同區","赤峰街積淹水","2023-06-30 15:59:00 		                  			 ~  		                  				2023-06-30 20:10:47","251","-"
"臺北市士林區","中正路213巷29號","2023-06-30 15:57:00 		                  			 ~  		                  				2023-06-30 20:10:47","253","-"
"臺北市萬華區","環河南路2段100巷","2023-06-30 15:56:00 		                  			 ~  		                  				2023-06-30 20:10:47","254","-"
"臺北市大同區","重慶北路3段135號積淹水","2023-06-30 15:49:00 		                  			 ~  		                  				2023-06-30 20:10:47","261","-"
"臺北市士林區","大南路350巷13號積淹水","2023-06-30 15:46:00 		                  			 ~  		                  				2023-06-30 20:10:47","264","-"
"臺北市士林區","至善路2段積淹水","2023-06-30 15:45:00 		                  			 ~  		                  				2023-06-30 20:10:47","265","-"
"臺北市士林區","延平北路7段106巷349號積淹水延平北路7段42之7號（暫時門牌）","2023-06-30 15:42:00 		                  			 ~  		                  				2023-06-30 20:10:47","268","-"
