查詢區間:109年01月01日~109年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"臺北市中山區","台北市中山區民生東路2段147巷","2020-08-03 13:52:00 		                  			 ~  		                  				2020-08-03 23:10:59","558","-"
"臺北市信義區","信義路六段76巷8弄","2020-08-03 13:49:00 		                  			 ~  		                  				2020-08-03 23:10:59","561","-"
"臺北市文山區","臺北市文山區景仁里006鄰羅斯福路六段１１８號","2020-08-03 13:47:00 		                  			 ~  		                  				2020-08-03 23:10:59","563","-"
"臺北市士林區","台北市士林區延平北路8段2巷153弄","2020-08-03 13:43:00 		                  			 ~  		                  				2020-08-03 23:10:59","567","-"
"臺北市內湖區","臺北市內湖區金龍里023鄰金龍路１１２巷１２號","2020-08-03 13:39:00 		                  			 ~  		                  				2020-08-03 23:10:59","571","-"
"臺北市松山區","台北市松山區民生東路5段36巷10弄16號","2020-08-03 13:39:00 		                  			 ~  		                  				2020-08-03 23:10:59","571","-"
"臺北市北投區","臺北市北投區清江里027鄰崇仁路一段１３６巷１弄１５號1樓","2020-08-03 13:37:00 		                  			 ~  		                  				2020-08-03 23:10:59","573","-"
"臺北市北投區","台北市北投區承德路7段393巷","2020-08-03 13:29:00 		                  			 ~  		                  				2020-08-03 23:10:59","581","-"
"臺北市士林區","中正路201巷","2020-08-03 13:26:00 		                  			 ~  		                  				2020-08-03 23:10:59","584","-"
"臺北市中山區","民生東路二段147巷","2020-08-03 13:24:00 		                  			 ~  		                  				2020-08-03 23:10:59","586","-"
"臺北市士林區","台北市士林區中正路187巷50號","2020-08-03 13:23:00 		                  			 ~  		                  				2020-08-03 23:10:59","587","-"
"臺北市北投區","台北市北投區大度路怡合巷3弄","2020-08-03 13:22:00 		                  			 ~  		                  				2020-08-03 23:10:59","588","-"
"臺北市松山區","臺北市松山區介壽里008鄰民生東路五段３６巷１０弄１６號1樓臺北市松山區介壽里008鄰民生東路五段３６巷１０弄１６號，地下室","2020-08-03 13:20:00 		                  			 ~  		                  				2020-08-03 23:10:59","590","-"
"臺北市北投區","台北市北投區中央南路1段102巷6號","2020-08-03 13:19:00 		                  			 ~  		                  				2020-08-03 23:10:59","591","-"
"臺北市中山區","臺北市中山區下埤里003鄰復興北路４３０巷８號二樓","2020-08-03 13:18:00 		                  			 ~  		                  				2020-08-03 23:10:59","592","-"
"臺北市北投區","臺北市北投區立賢里012鄰尊賢街２４３巷１１號","2020-08-03 13:14:00 		                  			 ~  		                  				2020-08-03 23:10:59","596","-"
"臺北市士林區","承德路四段2巷（三腳渡停車場）","2020-08-03 13:12:00 		                  			 ~  		                  				2020-08-03 23:10:59","598","-"
"臺北市士林區","延平北路八段2巷153弄","2020-08-03 13:11:00 		                  			 ~  		                  				2020-08-03 23:10:59","599","-"
"臺北市北投區","台北市北投區明德路3巷9號","2020-08-03 13:07:00 		                  			 ~  		                  				2020-08-03 23:10:59","603","-"
"臺北市北投區","台北市北投區大度路貴子坑溪大度路下方涵洞","2020-08-03 13:05:00 		                  			 ~  		                  				2020-08-03 23:10:59","605","-"
"臺北市士林區","延平北路八段2巷","2020-08-03 13:04:00 		                  			 ~  		                  				2020-08-03 23:10:59","606","-"
"臺北市北投區","台北市北投區中央南路1段102巷6號","2020-08-03 12:52:00 		                  			 ~  		                  				2020-08-03 23:10:59","618","-"
"臺北市士林區","111台灣台北市士林區通河東街二段4號　本里長堤社區大樓管理員告知，通河東街2段4號～5號前的衛生下水道圓孔蓋一直湧出水來，恐會淹到地下室，需做立即處理。","2020-08-03 12:51:00 		                  			 ~  		                  				2020-08-03 23:10:59","619","-"
"臺北市士林區","臺北市士林區福德里003鄰美德街２１之１號","2020-08-03 12:50:00 		                  			 ~  		                  				2020-08-03 23:10:59","620","-"
"臺北市士林區","中山北路五段704巷","2020-08-03 12:48:00 		                  			 ~  		                  				2020-08-03 23:10:59","622","-"
"臺北市南港區","南港高工，南港路一段 (介於板信商銀跟7-11之間)","2020-08-03 12:47:00 		                  			 ~  		                  				2020-08-03 23:10:59","623","-"
"臺北市內湖區","臺北市內湖區秀湖里002鄰大湖街１６６巷２０之１號對面，馬路上的水溝，湖山6號公園旁邊","2020-08-03 12:45:00 		                  			 ~  		                  				2020-08-03 23:10:59","625","-"
"臺北市士林區","111台灣台北市士林區中正路213巷　中山北路5段511號前慢車道、中山北路5段505巷、中正路187巷、中正路201巷、中正路213巷、中正路223巷、中正路235巷，皆有5公分以上發生積水。","2020-08-03 12:41:00 		                  			 ~  		                  				2020-08-03 23:10:59","629","-"
"臺北市士林區","臺北市士林區福林里014鄰中正路１８７巷５０號到68號","2020-08-03 12:40:00 		                  			 ~  		                  				2020-08-03 23:10:59","630","-"
"臺北市北投區","大度路怡和巷3弄","2020-08-03 12:40:00 		                  			 ~  		                  				2020-08-03 23:10:59","630","-"
"臺北市北投區","臺北市北投區裕民里014鄰裕民六路９０巷１弄６號1樓","2020-08-03 12:40:00 		                  			 ~  		                  				2020-08-03 23:10:59","630","-"
"臺北市北投區","臺北市北投區文林里019鄰建民路１８號","2020-08-03 12:39:00 		                  			 ~  		                  				2020-08-03 23:10:59","631","-"
"臺北市北投區","台北市北投區承德路7段393巷","2020-08-03 12:38:00 		                  			 ~  		                  				2020-08-03 23:10:59","632","-"
"臺北市北投區","臺北市北投區立賢里002鄰承德路七段３４２巷７號臺北市北投區立賢里002鄰承德路七段３４２巷７號1樓","2020-08-03 12:37:00 		                  			 ~  		                  				2020-08-03 23:10:59","633","-"
"臺北市北投區","積淹水，約2公分，尊賢街241巷尊賢街241巷","2020-08-03 12:37:00 		                  			 ~  		                  				2020-08-03 23:10:59","633","-"
"臺北市中山區","台北市中山區大直街46巷16號1樓","2020-08-03 12:34:00 		                  			 ~  		                  				2020-08-03 23:10:59","636","-"
"臺北市北投區","臺北市北投區中央里016鄰大興街１４號後面防火巷","2020-08-03 12:29:00 		                  			 ~  		                  				2020-08-03 23:10:59","641","-"
"臺北市北投區","臺北市北投區文林里019鄰明德路３巷９號旁的巷子","2020-08-03 12:29:00 		                  			 ~  		                  				2020-08-03 23:10:59","641","-"
"臺北市北投區","臺北市北投區文林里019鄰明德路３巷９號旁的巷子","2020-08-03 12:29:00 		                  			 ~  		                  				2020-08-03 17:20:00","291","-"
"臺北市北投區","台北市北投區民族街4號","2020-08-03 12:19:00 		                  			 ~  		                  				2020-08-03 23:10:59","651","-"
"臺北市士林區","士林官邸（士林區福林路）","2020-08-03 12:18:00 		                  			 ~  		                  				2020-08-03 23:10:59","652","-"
"臺北市北投區","台北市北投區承德路7段32巷3弄","2020-08-03 12:08:00 		                  			 ~  		                  				2020-08-03 23:10:59","662","-"
"臺北市北投區","台北市北投區大業路65巷","2020-08-03 12:07:35 		                  			 ~  		                  				2020-08-04 08:40:23","1233","-"
"臺北市北投區","台北市北投區大業路65巷","2020-08-03 12:07:00 		                  			 ~  		                  				2020-08-03 23:10:59","663","-"
