查詢區間:109年01月01日~109年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"臺北市士林區","臺北市士林區中山北路與福林路口","2020-08-27 13:50:00 		                  			 ~  		                  				2020-08-27 14:50:00","60","30.00"
"臺北市文山區","台北市文山區萬隆街73號","2020-08-03 17:04:00 		                  			 ~  		                  				2020-08-03 23:10:59","366","-"
"臺北市文山區","台北市文山區萬隆街73號","2020-08-03 16:56:00 		                  			 ~  		                  				2020-08-03 23:10:59","374","-"
"臺北市士林區","台北市士林區中山北路6段155號1樓","2020-08-03 16:06:00 		                  			 ~  		                  				2020-08-03 23:10:59","424","-"
"臺北市松山區","台北市松山區民生東路4段80巷10號","2020-08-03 15:01:00 		                  			 ~  		                  				2020-08-03 23:10:59","489","-"
"臺北市士林區","台北兒童新樂園","2020-08-03 14:46:00 		                  			 ~  		                  				2020-08-03 23:10:59","504","-"
"臺北市文山區","興隆路三段","2020-08-03 14:44:00 		                  			 ~  		                  				2020-08-03 23:10:59","506","-"
"臺北市松山區","民生東路4段80巷10-16號(約4間民宅)[2020/8/3 下午 02:56:18松山區應變中心]已通報相關單位派員前往處理[2020/8/3 下午 02:58:22工務局]區公所已派員[2020/8/3 下午 03:13:55消防局]2020 年8 月3 日15 時9 分17 秒	到達現場[2020/8/3 下午 03:26:02消防局]2020 年8 月3 日15 時15 分13 秒	安全無虞，離開現場","2020-08-03 14:43:00 		                  			 ~  		                  				2020-08-03 23:10:59","507","-"
"臺北市文山區","台北市文山區羅斯福路6段118號","2020-08-03 14:16:00 		                  			 ~  		                  				2020-08-03 23:10:59","534","-"
"臺北市信義區","延平北路四段155之2號 ，汙水處理廠對面","2020-08-03 14:06:00 		                  			 ~  		                  				2020-08-03 23:10:59","544","-"
"臺北市中山區","北安路到明水路之間","2020-08-03 14:04:00 		                  			 ~  		                  				2020-08-03 23:10:59","546","-"
"臺北市內湖區","台北市內湖區金龍路112巷152號","2020-08-03 13:55:00 		                  			 ~  		                  				2020-08-03 23:10:59","555","-"
