"data_time","行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"2020-08-03 12:26:00+08","淡水區","淡水區淡水區中正東路二段21號","2020-08-03 12:26:00~2020-08-03 23:10:59","644","-"
"2020-08-03 12:19:00+08","淡水區","淡水區淡水區民權路 民富街口","2020-08-03 12:19:00~2020-08-03 23:10:59","651","-"
"2020-08-03 12:12:00+08","淡水區","淡水區淡水區淡水區中正路226號","2020-08-03 12:12:00~2020-08-03 23:10:59","658","-"
"2020-08-03 11:53:00+08","淡水區","淡水區淡水區中正路與文化路口","2020-08-03 11:53:00~2020-08-03 23:10:59","677","-"
"2020-08-03 11:44:00+08","八里區","八里區八里區龍米路三段45號","2020-08-03 11:44:00~2020-08-03 23:10:59","686","-"
"2020-08-03 11:05:00+08","泰山區","泰山區新北大道六段","2020-08-03 11:05:00~2020-08-03 23:10:59","725","-"
"2020-08-03 11:04:00+08","五股區","五股區五股區一號越堤道","2020-08-03 11:04:00~2020-08-03 23:10:59","726","-"
"2020-08-03 11:00:00+08","蘆洲區","蘆洲區蘆洲區民權路","2020-08-03 11:00:00~2020-08-03 23:00:21","720","-"
"2020-08-03 10:33:00+08","八里區","林口區林口區台15線往八里方向13K處","2020-08-03 10:33:00~2020-08-03 23:10:59","757","-"
"2020-08-03 10:12:00+08","板橋區","板橋區板橋區大漢橋上","2020-08-03 10:12:00~2020-08-03 23:10:59","778","-"
"2020-07-26 15:31:50+08","永和區","國光路35號","2020-07-26 15:31:50~2020-07-26 16:39:50","68","13.00"
"2020-07-02 17:00:34+08","泰山區","新北大道五段、民生路口","2020-07-02 17:00:34~2020-07-02 19:09:34","129","13.00"
"2020-07-02 14:40:35+08","土城區","金城路二段46巷18-9號","2020-07-02 14:40:35~2020-07-02 18:40:35","240","33.00"
"2020-07-02 14:40:22+08","土城區","和平路99之2號前","2020-07-02 14:40:22~2020-07-02 18:45:22","245","13.00"
"2020-06-14 17:02:15+08","土城區","和平路99之2號前","2020-06-14 17:02:15~2020-06-14 22:02:15","300","17.00"
"2020-05-28 10:03:23+08","土城區","和平路99之2號前","2020-05-28 10:03:23~2020-05-28 22:33:23","750","10.10"
"2020-05-22 00:51:18+08","五股區","疏洪一路1K+300","2020-05-22 00:51:18~2020-05-22 22:16:18","1285","10.10"
"2020-05-18 11:09:01+08","泰山區","新北大道五段、民生路口","2020-05-18 11:09:01~2020-05-18 17:16:01","367","12.20"
"2020-05-16 15:37:09+08","土城區","和平路99之2號前","2020-05-16 15:37:09~2020-05-16 23:07:09","450","11.20"
"2021-09-12 17:32:00+08","烏來區","烏來區忠治里金堰路2號橋","2021-09-12 17:32:00~2021-09-12 18:10:00","38","-"
