查詢區間:112年01月01日~112年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"新北市板橋區","板橋區江翠站","2023-08-10 16:34:00 		                  			 ~  		                  				2023-08-10 18:30:00","116","-"
"新北市樹林區","樹林區柑園樹林交流道","2023-08-10 16:33:00 		                  			 ~  		                  				2023-08-10 22:40:00","367","-"
"新北市永和區","永和區中正橋","2023-08-10 16:31:00 		                  			 ~  		                  				2023-08-10 22:40:00","369","-"
"新北市中和區","中和區捷運橋和站外","2023-08-10 16:30:00 		                  			 ~  		                  				2023-08-10 22:40:00","370","-"
"新北市板橋區","新莊區大漢橋機車道","2023-08-10 16:28:00 		                  			 ~  		                  				2023-08-10 22:40:00","372","-"
"新北市泰山區","泰山區工專路","2023-08-10 16:27:00 		                  			 ~  		                  				2023-08-10 22:40:00","373","-"
"臺北市大同區","三重區環河南路269號附近","2023-08-10 16:26:00 		                  			 ~  		                  				2023-08-10 22:40:00","374","-"
"新北市三重區","三重區三重區正義南路","2023-08-10 16:24:00 		                  			 ~  		                  				2023-08-10 22:40:00","376","-"
"新北市五股區","五股區成泰路1段98巷","2023-08-10 16:24:00 		                  			 ~  		                  				2023-08-10 22:40:00","376","-"
"新北市三重區","三重區環河南路與水漾路一段交叉口","2023-08-10 16:23:00 		                  			 ~  		                  				2023-08-10 22:40:00","377","-"
"新北市永和區","永和區國光路","2023-08-10 16:23:00 		                  			 ~  		                  				2023-08-10 18:30:00","127","-"
"新北市三重區","三重區信義西街和正義北路","2023-08-10 16:20:00 		                  			 ~  		                  				2023-08-10 22:40:00","380","-"
"新北市樹林區","樹林區柑園街一段276號","2023-08-10 16:18:00 		                  			 ~  		                  				2023-08-10 22:40:00","382","-"
"新北市永和區","永和區林森路","2023-08-10 16:13:00 		                  			 ~  		                  				2023-08-10 22:40:00","387","-"
"新北市三重區","三重區新北市三重區環河南路 水漾路一段交叉路口","2023-08-10 16:09:00 		                  			 ~  		                  				2023-08-10 22:40:00","391","-"
"新北市三重區","三重區龍門路168號附近","2023-08-10 16:08:00 		                  			 ~  		                  				2023-08-10 22:40:00","392","-"
"新北市鶯歌區","鶯歌區鶯歌區中湖里包含湖山路社區","2023-08-10 16:06:00 		                  			 ~  		                  				2023-08-10 22:40:00","394","-"
"新北市永和區","永和區秀朗路二段115號","2023-08-10 16:04:00 		                  			 ~  		                  				2023-08-10 18:30:00","146","-"
"新北市中和區","永和區國光街51號","2023-08-10 15:59:00 		                  			 ~  		                  				2023-08-10 18:30:00","151","-"
"新北市三峽區","三峽區大學路及學勤路口","2023-08-10 15:57:00 		                  			 ~  		                  				2023-08-10 18:30:00","153","-"
"新北市鶯歌區","鶯歌區鶯桃路668巷","2023-08-10 15:55:00 		                  			 ~  		                  				2023-08-10 18:30:00","155","-"
"新北市鶯歌區","大湖路與國際一路交叉口","2023-08-10 15:48:03 		                  			 ~  		                  				2023-08-10 16:07:03","19","13.00"
"新北市樹林區","樹林區佳園路三段145巷19-1號","2023-08-10 15:41:00 		                  			 ~  		                  				2023-08-10 22:40:00","419","-"
"新北市鶯歌區","鶯歌區新北市鶯歌區湖山路25巷23號","2023-08-10 15:41:00 		                  			 ~  		                  				2023-08-10 18:30:00","169","-"
"新北市鶯歌區","永吉市民活動中心","2023-08-10 15:37:35 		                  			 ~  		                  				2023-08-10 16:26:19","49","48.00"
"新北市鶯歌區","鶯歌區永吉活動中心","2023-08-10 15:33:00 		                  			 ~  		                  				2023-08-10 22:40:00","427","-"
"新北市土城區","新北市土城區金城路二段46巷","2023-07-30 17:00:00 		                  			 ~  		                  				2023-07-30 17:30:00","30","10.00"
"新北市五股區","成泰路一段98巷","2023-06-30 16:06:03 		                  			 ~  		                  				2023-06-30 16:19:03","13","23.00"
"新北市新莊區","三泰路23-3號","2023-06-30 15:32:31 		                  			 ~  		                  				2023-06-30 16:01:31","29","13.00"
"新北市三重區","重安街13巷","2023-06-30 15:31:39 		                  			 ~  		                  				2023-06-30 16:41:39","70","16.00"
"新北市新店區","新店區雙城路2巷","2023-06-24 18:52:00 		                  			 ~  		                  				2023-06-24 20:10:00","78","-"
"新北市樹林區","樹林區新北市樹林區佳園路三段30號;1樓","2023-06-24 18:02:00 		                  			 ~  		                  				2023-06-24 20:20:00","138","-"
"新北市鶯歌區","鶯歌區新北市鶯歌區文化路37號1樓","2023-06-24 17:51:00 		                  			 ~  		                  				2023-06-24 20:10:00","139","-"
"新北市三峽區","三峽區大學路及學勤路口","2023-06-24 17:43:00 		                  			 ~  		                  				2023-06-24 20:20:00","157","-"
"新北市三峽區","新北市三峽區大學路學勤路口","2023-06-24 17:40:00 		                  			 ~  		                  				2023-06-24 19:00:00","80","10.00"
"新北市鶯歌區","鶯歌區尖山埔路","2023-06-24 17:37:00 		                  			 ~  		                  				2023-06-24 20:20:00","163","-"
"新北市樹林區","樹林區樹林區佳園路一段145號積水","2023-06-24 17:33:00 		                  			 ~  		                  				2023-06-24 20:20:00","167","-"
"新北市樹林區","樹林區佳園路三段145巷30號","2023-06-24 17:30:00 		                  			 ~  		                  				2023-06-24 19:10:00","100","20.00"
"新北市樹林區","柑園街一段335巷口","2023-06-24 17:00:00 		                  			 ~  		                  				2023-06-24 21:00:00","240","-"
"新北市中和區","板南路","2023-06-23 15:50:00 		                  			 ~  		                  				2023-06-23 17:30:00","100","50.00"
"新北市中和區","捷運中和站旁","2023-06-23 15:20:00 		                  			 ~  		                  				2023-06-23 17:20:00","120","30.00"
"新北市永和區","國光路35號","2023-06-23 15:11:25 		                  			 ~  		                  				2023-06-23 15:23:25","12","22.00"
"新北市永和區","國光路35號","2023-06-16 14:16:51 		                  			 ~  		                  				2023-06-16 14:44:51","28","37.00"
"新北市汐止區","新北市鄉長路一段","2023-06-09 19:40:00 		                  			 ~  		                  				2023-06-09 19:50:00","10","15.00"
"新北市五股區","成泰路一段98巷","2023-05-22 22:39:03 		                  			 ~  		                  				2023-05-22 22:58:03","19","13.00"
