查詢區間:113年01月01日~113年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"新北市金山區","金山區金山區六股里潭子內","2024-10-04 16:23:00 		                  			 ~  		                  				2024-10-05 05:20:00","777","-"
"新北市金山區","金山區忠孝一路20巷6號1樓","2024-10-04 16:22:00 		                  			 ~  		                  				2024-10-04 23:00:00","398","-"
"新北市萬里區","萬里區維納斯海岸","2024-10-04 16:21:00 		                  			 ~  		                  				2024-10-05 23:49:47","1888","-"
"新北市金山區","金山區新北市金山區中山路 沿線","2024-10-04 16:21:00 		                  			 ~  		                  				2024-10-05 01:10:00","529","-"
"新北市金山區","金山區新北市金山區清水路16巷1號","2024-10-04 16:09:00 		                  			 ~  		                  				2024-10-05 23:49:47","1900","-"
"新北市三芝區","三芝區新北市三芝區店子59號","2024-10-04 16:06:00 		                  			 ~  		                  				2024-10-05 00:10:00","484","-"
"新北市金山區","金山區金包里街78號","2024-10-04 16:05:00 		                  			 ~  		                  				2024-10-05 23:49:47","1904","-"
"新北市金山區","金山區新北市金山區環金路178號;1樓","2024-10-04 16:03:00 		                  			 ~  		                  				2024-10-05 23:49:47","1906","-"
"新北市板橋區","金山區三界壇95巷1號","2024-10-04 16:01:00 		                  			 ~  		                  				2024-10-05 23:49:47","1908","-"
"新北市淡水區","淡水區雲廣坑","2024-10-04 15:59:00 		                  			 ~  		                  				2024-10-05 23:49:47","1910","-"
"新北市淡水區","淡水區桂竹圍2號","2024-10-04 15:55:00 		                  			 ~  		                  				2024-10-05 23:49:47","1914","-"
"新北市金山區","金山區新北市金山區中華路101巷5號","2024-10-04 15:54:00 		                  			 ~  		                  				2024-10-05 23:49:47","1915","-"
"新北市金山區","金山區新北市金山區法鼓路 往永興路約200M處","2024-10-04 15:48:00 		                  			 ~  		                  				2024-10-05 01:10:00","562","-"
"新北市金山區","金山區新北市金山區忠孝一路20巷8號","2024-10-04 15:47:00 		                  			 ~  		                  				2024-10-05 23:49:47","1922","-"
"新北市金山區","金山區新北市金山區南勢14號 天宣慈惠堂","2024-10-04 15:46:00 		                  			 ~  		                  				2024-10-05 23:49:47","1923","-"
"新北市金山區","金山區新北市金山區清水路 中角灣往金山方向","2024-10-04 15:45:00 		                  			 ~  		                  				2024-10-05 23:49:47","1924","-"
"新北市金山區","金山區新北市金山區中山路 第一市場","2024-10-04 15:44:00 		                  			 ~  		                  				2024-10-05 00:00:00","496","-"
"新北市金山區","金山區新北市金山區南勢11號之1;2樓","2024-10-04 15:43:00 		                  			 ~  		                  				2024-10-05 23:49:47","1926","-"
"新北市金山區","金山區新北市金山區下六股71號","2024-10-04 15:37:00 		                  			 ~  		                  				2024-10-05 23:49:47","1932","-"
"新北市金山區","中山路(近仁愛路口)","2024-10-04 15:30:00 		                  			 ~  		                  				2024-10-04 23:40:00","490","-"
"新北市金山區","環金路、中山路口","2024-10-04 15:30:00 		                  			 ~  		                  				2024-10-04 21:50:00","380","-"
"新北市石門區","石門區石門區尖山湖16號","2024-10-04 15:27:00 		                  			 ~  		                  				2024-10-04 19:00:00","213","-"
"新北市萬里區","萬里區新北市萬里區加投18號之5","2024-10-04 15:24:00 		                  			 ~  		                  				2024-10-05 23:49:47","1945","-"
"新北市萬里區","萬里區豊廩16號","2024-10-04 15:20:00 		                  			 ~  		                  				2024-10-05 00:10:00","530","-"
"新北市金山區","金山區新北市金山區潭子內20號","2024-10-04 15:19:00 		                  			 ~  		                  				2024-10-05 23:49:47","1950","-"
"新北市萬里區","萬里區三角公園","2024-10-04 15:18:00 		                  			 ~  		                  				2024-10-04 19:00:00","222","-"
"新北市淡水區","淡水區新北市淡水區南平8號","2024-10-04 15:16:00 		                  			 ~  		                  				2024-10-05 23:49:47","1953","-"
"新北市淡水區","淡水區新北市淡水區小中寮2號","2024-10-04 15:13:00 		                  			 ~  		                  				2024-10-05 23:49:47","1956","-"
"新北市三芝區","三芝區新北市三芝區土地公埔72之1號","2024-10-04 15:12:00 		                  			 ~  		                  				2024-10-05 23:49:47","1957","-"
"新北市三芝區","三芝區新北市三芝區木屐寮36號之1;","2024-10-04 15:11:00 		                  			 ~  		                  				2024-10-04 19:00:00","229","-"
"新北市三芝區","三芝區八連溪56號","2024-10-04 15:02:00 		                  			 ~  		                  				2024-10-04 19:00:00","238","-"
"新北市萬里區","萬里區新北市萬里區加投23號之2","2024-10-04 15:00:00 		                  			 ~  		                  				2024-10-05 01:10:00","610","-"
"新北市萬里區","基金公路近員潭路口(台2線 43K+500)","2024-10-04 15:00:00 		                  			 ~  		                  				2024-10-04 23:30:00","510","-"
"新北市萬里區","萬里區新北市萬里區員潭1號之3","2024-10-04 14:59:00 		                  			 ~  		                  				2024-10-05 23:49:47","1970","-"
