data_time,行政區,位置,淹水期間,淹水時間(分鐘),最高淹水深度(公分),Latitude,Longitude
2024-10-04 15:30:00+08,北海岸,環金路、中山路口,2024-10-04 15:30:00~2024-10-04 21:50:00,380.0,0,25.21793998,121.63882508
2024-10-04 15:27:00+08,北海岸,石門區石門區尖山湖16號,2024-10-04 15:27:00~2024-10-04 19:00:00,213.0,0,25.0196686,121.302522
2024-10-04 15:24:00+08,北海岸,萬里區新北市萬里區加投18號之5,2024-10-04 15:24:00~2024-10-05 23:49:47,1945.0,0,25.21471717,121.62398538
2024-10-04 15:20:00+08,北海岸,萬里區豊廩16號,2024-10-04 15:20:00~2024-10-05 00:10:00,530.0,0,25.19427329,121.6201562
2024-10-04 15:19:00+08,北海岸,金山區新北市金山區潭子內20號,2024-10-04 15:19:00~2024-10-05 23:49:47,1950.0,0,25.23660044,121.583759
2024-10-04 15:18:00+08,北海岸,萬里區三角公園,2024-10-04 15:18:00~2024-10-04 19:00:00,222.0,0,25.155943,121.53569452
2024-10-04 15:16:00+08,北海岸,淡水區新北市淡水區南平8號,2024-10-04 15:16:00~2024-10-05 23:49:47,1953.0,0,25.0196686,121.302522
2024-10-04 15:13:00+08,北海岸,淡水區新北市淡水區小中寮2號,2024-10-04 15:13:00~2024-10-05 23:49:47,1956.0,0,25.22627658,121.48889748
2024-10-04 15:12:00+08,北海岸,三芝區新北市三芝區土地公埔72之1號,2024-10-04 15:12:00~2024-10-05 23:49:47,1957.0,0,25.2386091,121.42373992
2024-10-04 15:11:00+08,北海岸,三芝區新北市三芝區木屐寮36號之1;,2024-10-04 15:11:00~2024-10-04 19:00:00,229.0,0,25.22605683,121.52602043
2024-10-04 15:02:00+08,北海岸,三芝區八連溪56號,2024-10-04 15:02:00~2024-10-04 19:00:00,238.0,0,25.0196686,121.302522
2024-10-04 15:00:00+08,北海岸,萬里區新北市萬里區加投23號之2,2024-10-04 15:00:00~2024-10-05 01:10:00,610.0,0,25.21405461,121.63948889
2024-10-04 15:00:00+08,北海岸,基金公路近員潭路口(台2線 43K+500),2024-10-04 15:00:00~2024-10-04 23:30:00,510.0,0,25.22358488,121.64640588
2024-10-04 14:59:00+08,北海岸,萬里區新北市萬里區員潭1號之3,2024-10-04 14:59:00~2024-10-05 23:49:47,1970.0,0,25.20098603,121.64595328
2024-10-04 14:59:00+08,北海岸,萬里區漁澳33號,2024-10-04 14:59:00~2024-10-04 18:30:00,211.0,0,25.19529468,121.68462933
2024-10-04 14:58:00+08,北海岸,金山區阿月快炒前,2024-10-04 14:58:00~2024-10-04 23:30:00,512.0,0,25.21776048,121.60919288
2024-10-04 14:55:00+08,北海岸,金山區金美里忠孝一路19巷,2024-10-04 14:55:00~2024-10-04 19:00:00,245.0,0,25.21809828,121.63561748
2024-10-04 14:53:00+08,北海岸,金山區五湖里,2024-10-04 14:53:00~2024-10-05 23:49:47,1976.0,0,25.20899264,121.58135175
2024-10-04 14:52:00+08,北海岸,金山區六股里5鄰62號,2024-10-04 14:52:00~2024-10-05 00:30:00,578.0,0,25.22312588,121.61200218
2024-10-04 14:47:00+08,北海岸,金山區三界壇路一鄰30號,2024-10-04 14:47:00~2024-10-04 19:00:00,253.0,0,25.22976984,121.57961465
2024-10-04 14:42:00+08,北海岸,金山區新北市金山區下六股63號,2024-10-04 14:42:00~2024-10-05 23:49:47,1987.0,0,25.0196686,121.302522
2024-10-04 14:33:00+08,北海岸,金山區月眉22~23號,2024-10-04 14:33:00~2024-10-04 19:10:00,277.0,0,25.23368629,121.58058275
2024-10-04 14:32:00+08,北海岸,三芝區屏山天元宮,2024-10-04 14:32:00~2024-10-04 19:10:00,278.0,0,25.25404068,121.53359378
2024-10-04 14:25:00+08,北海岸,金山區新北市金山區環金路147號,2024-10-04 14:25:00~2024-10-05 01:10:00,645.0,0,25.21711318,121.63266798
2024-10-04 14:23:00+08,北海岸,金山區新北市金山區三界壇路99號,2024-10-04 14:23:00~2024-10-04 21:50:00,447.0,0,25.22926488,121.62001868
2024-10-04 14:19:00+08,北海岸,萬里區新北市萬里區萬里加投21號之2,2024-10-04 14:19:00~2024-10-05 01:10:00,651.0,0,25.21347016,121.64036839
2024-10-04 14:10:00+08,北海岸,淡水區新北市淡水區小中寮9號之7,2024-10-04 14:10:00~2024-10-05 23:49:47,2019.0,0,25.23391378,121.47964978
2024-10-04 14:10:00+08,北海岸,石門區新北市石門區尖山湖56號,2024-10-04 14:10:00~2024-10-05 01:10:00,660.0,0,25.0196686,121.302522
2024-10-04 12:41:00+08,北海岸,金山區新北市金山區 台2甲0k  +300,2024-10-04 12:41:00~2024-10-05 23:49:47,2108.0,0,25.22242659,121.59555975
2024-10-04 08:41:00+08,北海岸,淡水區淡金路三段73號,2024-10-04 08:41:00~2024-10-05 23:49:47,2348.0,0,25.19986758,121.44530838
2024-10-04 08:41:00+08,北海岸,三芝區店子里北101線,2024-10-04 08:41:00~2024-10-05 23:49:47,2348.0,0,25.19584529,121.4972954
2024-10-04 07:53:00+08,北海岸,淡水區新北市淡水區中正路二段393號,2024-10-04 07:53:00~2024-10-04 17:00:00,547.0,10.00,25.19081108,121.42321418
2024-10-04 07:42:00+08,北海岸,淡水區義山路一段220號,2024-10-04 07:42:00~2024-10-04 17:00:00,558.0,10.00,25.19089408,121.43580748
